payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P003,C004964,T081234,I00245,S00415,5,rolls,26.0
P005,C004444,T011191,I00054,S0056,8,cans,40.0
P010,C003965,T07426,I00206,S00418,9,ct,15.0
P018,C008428,T011123,I00001,S00321,5,cans,11.5
P013,C004180,T019261,I00121,S00194,11,ct,17.0
P030,C005923,T053834,I00234,S00635,6,ct,$13.0
P018,C000349,T066902,I00241,S00725,8,ct,12.0
P029,C001437,T032763,I00041,S00288,9,bottles,23.0
P023,C004728,T086563,I00141,S00563,10,ct,18.0
P037,C004590,T092267,I00248,S0032,1,rolls,26.0
P012,C000390,T059049,I00166,S00430,2,bags,17.0
P030,C002229,T035331,I00093,S00213,3,bottles,13.0
P002,C004695,T097244,I00262,S0096,3,ct,14.0
P021,C002727,T052809,I00166,S00287,8,bags,17.0
P016,C008092,T07984,I00135,S00678,3,ct.,14.0
P027,C003500,T062937,I00021,S00721,4,cans,6.75
P030,C006707,T095887,I00013,S00203,3,cans,6.75
P034,C004349,T047671,I00113,S00341,11,ct,42.0
P031,C008904,T091686,I00215,S00383,8,ct.,14.0
P024,C001262,T019351,I00087,S00443,4,bottles,15.0
P038,C004153,T073852,I00211,S00385,4,ct.,15.0
P021,C004242,T092327,I00171,S00363,3,ct,16.0
P023,C008833,T018638,I00220,S00209,9,ct,14.0
P010,C002068,T09180,I00180,S00540,1,ct,$19.0
P021,C001783,T061263,I00239,S00173,7,pk,14.0
P019,C008325,T084731,I00086,S00633,10,cans,18.0
P008,C000540,T049359,I00033,S00577,10,cans,16.0
P023,C000762,T039513,I00051,S00595,11,cans,23.0
P020,C004164,T048066,I00052,S00228,3,cans,40.0
P033,C000772,T045449,I00124,S00505,3,ct,15.0
P020,C006660,T081443,I00035,S00314,8,cans,16.0
P019,C002975,T064157,I00223,S00445,1,ct,13.5
P039,C000142,T014033,I00240,S00675,1,ct,14.0
P037,C001849,T036272,I00118,S00230,2,ct,42.0
P011,C000446,T084335,I00234,S00267,7,ct,13.0
P030,C002591,T083228,I00246,S0096,6,ct,20.0
P008,C005043,T010525,I00185,S00464,6,ct,14.0
P027,C006801,T049626,I00192,S00682,9,ct,$24.0
P021,C003454,T084797,I00236,S00672,3,tins,12.0
P010,C002732,T076084,I00084,S00174,9,bottles,18.0
P021,C002279,T025680,I00076,S00474,2,cans,6.75
P002,C008706,T078266,I00126,S0079,11,ct,25.0
P004,C005534,T065899,I00004,S00454,7,cans,6.75
P017,C005715,T036988,I00169,S0019,3,ct,17.0
P028,C006280,T025341,I00002,S00160,7,cans,6.75
P012,C000163,T012287,I00233,S00550,11,ct,12.0
P016,C008465,T046020,I00145,S00150,4,ct,17.0
P017,C000914,T023145,I00053,S00276,5,cans,40.0
P007,C002848,T013350,I00124,S00338,10,ct,15.0
P025,C003040,T020504,I00026,S0024,11,cans,6.75
P031,C002095,T086590,I00052,S00627,6,cans,40.0
P004,C007041,T047221,I00261,S00294,1,ct,33.0
P031,C003199,T081985,I00175,S00529,7,oz,19.0
P004,C006827,T010420,I00083,S00716,9,bottles,$14.0
P002,C003118,T061836,I00072,S00546,7,bottles,20.0
P025,C005618,T077118,I00173,S0032,6,ct,19.0
P035,C002020,T023339,I00170,S00114,8,ct.,15.0
P033,C003170,T052314,I00251,S00297,6,oz,13.0
P032,C002828,T022732,I00013,S00182,1,cans,6.75
P006,C000548,T03300,I00238,S0063,3,ct,12.0
P009,C004989,T035540,I00210,S00696,4,ct,15.0
P012,C009015,T054249,I00262,S00106,9,ct,14.0
P030,C000253,T078608,I00089,S00391,3,bottles,9.0
P031,C006330,T027236,I00066,S0098,7,bottles,20.0
P008,C000359,T086779,I00256,S00284,6,pack,20.0
P034,C003024,T094901,I00036,S00604,4,cans,16.0
P037,C004192,T081717,I00124,S00116,3,ct,15.0
P017,C001477,T030756,I00213,S00270,10,ct,$12.0
P035,C001315,T061263,I00181,S00467,8,ct,26.0
P014,C005752,T093947,I00002,S00280,8,cans,6.75
P014,C000466,T039522,I00218,S00354,7,ct,6.0
P015,C005393,T054646,I00049,S0026,4,cans,8.0
P036,C006780,T033891,I00253,S0047,8,bags,21.0
P007,C001759,T02948,I00112,S0023,9,ct.,14.0
P036,C003698,T086563,I00068,S00523,4,bottles,20.0
P025,C007828,T077049,I00145,S00463,7,ct,$17.0
P029,C006755,T037283,I00231,S0094,11,pk,16.0
P011,C006780,T044836,I00117,S0013,1,ct,46.0
P013,C006012,T069386,I00207,S00311,7,ct,14.0
P017,C004999,T019351,I00052,S00597,8,cans,40.0
P027,C004126,T020219,I00182,S00500,8,oz,15.0
P025,C003942,T096238,I00092,S00212,6,bottles,10.0
P005,C007555,T084731,I00137,S00360,9,ct,24.0
P013,C003413,T059729,I00019,S00631,9,cans,$6.75
P033,C007538,T079208,I00093,S00669,6,bottles,$13.0
P018,C001602,T012748,I00080,S00148,11,bottles,22.0
P005,C006278,T079410,I00151,S00210,2,bags,17.0
P007,C002045,T030548,I00094,S0051,10,bottles,11.0
P008,C007919,T03361,I00250,S00669,11,pack,19.5
P038,C008522,T015027,I00047,S00224,2,cans,8.0
P019,C001397,T031807,I00106,S00329,4,oz,17.0
P031,C003152,T09198,I00239,S00150,10,pk,14.0
P001,C000986,T072401,I00018,S00324,8,cans,6.75
P034,C006020,T092052,I00031,S0039,5,cans,16.0
P001,C004442,T010208,I00069,S0094,5,bottles,$17.5
P024,C004184,T033573,I00254,S00308,9,oz,13.0
P007,C002110,T011635,I00177,S00434,4,ct,35.0
P022,C001719,T085039,I00082,S0060,1,ct,15.0
P004,C001592,T010392,I00058,S0035,8,bottles,22.0
P020,C006086,T040807,I00138,S00173,5,ct,32.0
P033,C006723,T036220,I00133,S0022,9,ct,15.0
P018,C007678,T022525,I00202,S00252,11,ct.,12.0
P018,C004526,T045454,I00065,S0074,11,bottles,20.0
P012,C006020,T059049,I00047,S00465,8,cans,8.0
P036,C004440,T027236,I00050,S00288,3,cans,8.0
P014,C008317,T050837,I00049,S00461,5,cans,8.0
P021,C006747,T097664,I00192,S0066,6,ct,24.0
P034,C004754,T040430,I00169,S00526,2,ct,17.0
P002,C000252,T068099,I00242,S00490,7,pk,12.0
