payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P018,C001211,T045981,I00221,S00504,1,ct,14.0
P006,C004492,T012980,I00248,S00614,2,rolls,$26.0
P010,C005232,T035626,I00184,S00392,10,ct,12.0
P010,C000307,T045809,I00061,S00554,1,cans,55.0
P020,C005616,T069010,I00035,S00211,11,cans,16.0
P014,C001313,T01199,I00188,S00660,2,ct,14.0
P024,C008281,T028083,I00003,S00136,4,cans,$6.75
P006,C006412,T056180,I00082,S00583,7,ct,15.0
P002,C007021,T091600,I00063,S00376,5,cans,$40.0
P021,C002866,T039483,I00141,S00208,9,ct,18.0
P032,C004579,T094984,I00223,S00286,3,ct,13.5
P014,C002154,T015210,I00064,S00623,5,cans,40.0
P031,C007791,T094903,I00219,S00146,5,ct,22.0
P004,C001078,T023729,I00163,S00419,9,bags,15.0
P010,C007069,T068777,I00124,S0039,8,ct,15.0
P030,C005418,T043691,I00233,S00349,10,ct,12.0
P026,C003508,T027777,I00220,S00695,6,ct,14.0
P004,C004737,T089756,I00238,S0039,3,ct,12.0
P038,C001157,T054754,I00127,S00386,3,pk,$12.5
P020,C004309,T040751,I00037,S00405,5,cans,16.0
P006,C002365,T039176,I00011,S0039,8,cans,6.75
P038,C007638,T026861,I00014,S00679,7,cans,6.75
P015,C002244,T04911,I00206,S00146,11,ct,15.0
P031,C008279,T074732,I00122,S00294,1,ct,15.0
P001,C002102,T044144,I00204,S00465,6,ct,17.0
P008,C005153,T099645,I00009,S0054,11,cans,16.25
P036,C001604,T031513,I00216,S00477,6,ct,16.5
P016,C000923,T018941,I00171,S00373,11,ct,16.0
P037,C003239,T014782,I00054,S00151,4,cans,40.0
P011,C008555,T045981,I00152,S00711,4,bags,15.0
P031,C007226,T047507,I00161,S00242,11,Bags,17.0
P010,C000006,T021379,I00062,S00661,2,cans,37.0
P008,C005735,T014102,I00259,S00307,7,pack,26.0
P022,C008774,T029515,I00076,S00164,6,cans,6.75
