payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P008,C002890,T082586,I00188,S00137,9,ct,14.0
P016,C002453,T087306,I00076,S00290,1,cans,6.75
P004,C001264,T090617,I00124,S00342,8,ct,15.0
P018,C004967,T08676,I00065,S00582,10,bottles,20.0
P018,C003336,T033413,I00133,S00103,9,ct,15.0
P020,C002444,T06433,I00084,S00692,10,bottles,18.0
P033,C002130,T084872,I00132,S00451,4,ct,14.0
P035,C007480,T014251,I00041,S0021,7,bottles,23.0
P030,C003183,T036959,I00140,S0090,2,ct,29.0
P014,C007475,T043546,I00013,S0043,11,cans,6.75
P019,C005454,T056774,I00237,S00552,9,ct,16.0
P001,C002419,T016759,I00005,S00422,2,cans,6.75
P035,C006255,T043516,I00099,S00446,7,oz,6.0
P010,C008529,T057702,I00068,S00336,3,bottles,20.0
P036,C005727,T085115,I00245,S0086,5,rolls,26.0
P039,C001126,T04376,I00086,S00596,3,cans,$18.0
P001,C000286,T042746,I00079,S00263,3,bottles,17.0
P018,C002798,T091060,I00258,S00169,4,pk,21.0
P006,C007425,T089301,I00015,S00415,6,cans,6.75
P007,C002078,T042053,I00055,S00357,8,cans,40.0
P022,C003476,T012189,I00261,S0096,8,ct,33.0
P035,C004166,T099011,I00196,S00531,3,ct,16.0
P008,C005883,T057996,I00197,S00340,8,bars,15.0
P019,C004317,T056231,I00167,S00277,2,ct,14.0
P023,C002554,T095616,I00180,S00651,10,ct,$19.0
P036,C000234,T047215,I00035,S00371,1,cans,16.0
P003,C003776,T090170,I00044,S00619,6,cans,8.0
P030,C008469,T032088,I00101,S00631,6,tubs,15.0
P004,C002272,T01506,I00228,S00638,10,pk,14.0
P035,C001371,T047436,I00118,S0037,5,ct,42.0
P028,C007136,T095045,I00086,S00417,9,cans,18.0
P006,C000293,T093050,I00100,S0032,5,oz.,10.0
P037,C005689,T091763,I00023,S00470,9,cans,6.75
P039,C008825,T070874,I00004,S00642,1,cans,6.75
P022,C003649,T024091,I00152,S00270,3,bags,15.0
P004,C007797,T057579,I00015,S0016,8,cans,6.75
P005,C005275,T038141,I00136,S0007,8,ct,$19.5
P015,C005718,T018945,I00151,S00129,1,bags,17.0
P025,C000598,T017021,I00238,S00332,5,ct,12.0
P030,C003052,T053429,I00216,S00355,6,ct,16.5
P021,C005777,T089615,I00221,S0004,4,ct,14.0
P017,C004462,T048693,I00060,S00701,9,bottles,22.0
P033,C008642,T036496,I00055,S00130,11,cans,40.0
P019,C003638,T046269,I00122,S00665,11,ct,15.0
P004,C002934,T061390,I00153,S00522,4,bags,15.0
