payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P017,C008633,T035846,I00117,S0036,2,ct,46.0
P015,C005548,T037064,I00236,S00589,4,tins,$12.0
P017,C001109,T074757,I00103,S00449,5,tubs,15.0
P005,C007271,T053347,I00262,S0020,10,ct,14.0
P002,C001088,T099145,I00100,S00114,2,oz.,10.0
P016,C005479,T093989,I00025,S00429,7,cans,11.5
P007,C005706,T077357,I00010,S00704,1,cans,6.75
P024,C008789,T026974,I00126,S0010,2,ct,25.0
P012,C003665,T040340,I00191,S00322,11,bars,24.0
P028,C007780,T036187,I00254,S00464,1,oz,13.0
P025,C007832,T057814,I00077,S0026,3,cans,6.75
P020,C006632,T026343,I00195,S0083,7,ct,$12.5
P001,C005317,T040239,I00083,S00669,7,bottles,14.0
P030,C009022,T031287,I00187,S00554,10,ct.,13.0
P011,C008160,T056991,I00107,S00550,2,oz,20.0
P030,C002229,T081597,I00075,S00240,9,cans,15.5
P036,C001272,T048744,I00077,S00385,8,cans,6.75
P026,C001973,T02472,I00231,S00460,1,pk,16.0
P016,C004895,T072105,I00228,S0089,3,pk,14.0
P032,C006831,T035775,I00127,S00689,1,pk,12.5
P004,C007203,T052442,I00066,S00238,6,bottles,20.0
P037,C004435,T057485,I00226,S00656,2,lb,$15.0
P025,C001687,T043354,I00077,S00668,7,cans,6.75
P027,C001111,T082397,I00008,S00617,1,cans,16.25
P019,C005224,T062907,I00105,S00615,9,ct,$16.5
P025,C003854,T08726,I00055,S00189,8,cans,40.0
P010,C007704,T072129,I00009,S00278,5,cans,16.25
P008,C005240,T023460,I00263,S00635,3,Ct,14.0
P023,C006792,T06815,I00055,S00716,6,cans,40.0
P017,C008838,T049804,I00105,S00503,1,ct,16.5
P005,C004018,T02834,I00239,S00715,10,pk,$14.0
P035,C008780,T098582,I00215,S00215,10,ct.,14.0
P005,C007777,T089544,I00257,S00168,10,ct,21.0
P028,C004255,T054615,I00150,S00170,1,bags,16.0
P030,C001588,T037419,I00146,S00702,11,ct,21.0
P029,C000215,T035458,I00195,S00557,2,ct,12.5
P028,C002167,T088641,I00204,S0091,2,ct,17.0
P030,C002251,T046656,I00110,S00533,11,oz,22.5
P023,C007521,T048482,I00237,S00299,7,ct,16.0
P024,C001967,T036275,I00050,S00397,8,cans,8.0
P005,C005741,T052942,I00111,S0085,11,ct,16.0
P027,C003424,T099822,I00213,S00638,8,ct,12.0
P025,C000941,T048334,I00023,S0065,8,cans,6.75
P029,C004236,T043992,I00086,S00452,10,cans,18.0
P034,C007340,T041127,I00010,S00275,3,cans,6.75
P025,C008700,T07810,I00172,S00283,10,oz,19.0
P017,C004924,T051225,I00259,S00508,2,pack,26.0
P009,C001845,T080132,I00103,S0020,2,tubs,$15.0
P027,C001113,T014655,I00156,S0092,6,bags,$17.0
P035,C004634,T041471,I00027,S00311,2,cans,$16.25
P016,C001625,T097594,I00172,S0002,9,oz,19.0
P008,C000317,T023882,I00259,S00636,7,pack,26.0
P017,C001038,T065015,I00052,S00192,2,cans,40.0
P019,C001459,T010510,I00070,S00102,2,bottles,17.5
P034,C004521,T034441,I00183,S00275,10,ct,35.0
P013,C005778,T059519,I00201,S00617,2,bars,23.0
P025,C000775,T03842,I00045,S00421,9,cans,8.0
P016,C006960,T021497,I00148,S00110,10,ct,15.0
P034,C008956,T07273,I00033,S00119,11,cans,16.0
P034,C001629,T08300,I00021,S00580,2,cans,6.75
P005,C005830,T063278,I00131,S00296,11,ct,14.0
P037,C006168,T092117,I00128,S00482,4,pk,16.0
P004,C008941,T060062,I00200,S00301,9,bars,$20.0
P019,C001960,T011765,I00246,S00513,8,ct,20.0
P029,C002206,T06605,I00015,S00661,6,cans,6.75
P038,C002104,T021957,I00137,S00145,8,ct,$24.0
P015,C005153,T084497,I00117,S00696,1,ct,$46.0
P010,C005363,T077159,I00008,S00564,5,cans,16.25
P012,C008649,T098268,I00020,S00361,6,cans,6.75
P005,C000739,T049266,I00049,S00254,3,cans,8.0
P030,C000654,T062907,I00029,S00324,10,cans,11.5
P013,C008975,T057070,I00086,S00647,1,cans,18.0
P036,C008020,T048406,I00213,S00599,2,ct,12.0
P007,C003543,T061845,I00203,S0050,8,ct,18.0
P016,C008368,T070712,I00001,S00384,10,cans,11.5
P028,C003788,T048835,I00035,S00333,1,cans,16.0
P038,C006312,T082766,I00042,S00356,1,bottles,$28.0
P010,C008972,T084371,I00116,S0017,8,ct,48.0
P036,C007577,T097397,I00179,S00365,5,ct,19.0
P003,C006865,T034407,I00076,S0061,5,cans,6.75
P005,C007005,T026355,I00046,S00598,3,cans,8.0
P035,C009049,T064521,I00124,S00679,3,ct,15.0
P015,C003232,T030233,I00234,S0015,2,ct,13.0
P009,C006087,T089212,I00185,S0071,8,ct,14.0
P002,C000385,T00841,I00220,S00381,8,ct,14.0
P034,C002662,T065015,I00084,S00378,3,bottles,$18.0
P031,C006880,T07293,I00207,S00282,8,ct,$14.0
P038,C008310,T049804,I00066,S00253,1,bottles,20.0
P033,C000742,T040340,I00253,S0050,8,bags,21.0
P006,C000693,T099506,I00079,S00422,6,bottles,17.0
