payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P007,C001554,T079957,I00220,S00442,4,ct,14.0
P029,C000555,T044465,I00129,S00301,2,pk,18.0
P015,C005696,T068185,I00112,S00385,7,ct.,14.0
P008,C003145,T067111,I00042,S00189,8,bottles,$28.0
P004,C002634,T045365,I00234,S00239,10,ct,13.0
P037,C002355,T09226,I00163,S00658,9,bags,15.0
P029,C006259,T013866,I00244,S00501,8,oz,18.0
P012,C003854,T031842,I00112,S00439,6,ct.,14.0
P003,C002983,T038718,I00060,S00251,5,bottles,22.0
P036,C004944,T079334,I00170,S00257,2,ct.,15.0
P024,C001251,T045539,I00241,S00519,6,ct,12.0
P013,C007286,T01788,I00017,S0048,7,cans,6.75
P021,C005765,T057540,I00237,S00429,4,ct,16.0
P020,C005358,T024120,I00261,S00426,8,ct,33.0
P004,C007886,T016567,I00021,S00681,5,cans,$6.75
P003,C002000,T075776,I00138,S00127,1,ct,32.0
P031,C000731,T054058,I00163,S00511,7,bags,15.0
P006,C000830,T067663,I00215,S00291,3,ct.,14.0
P017,C006661,T057866,I00082,S0064,8,ct,15.0
P004,C002100,T084579,I00028,S0023,1,cans,$6.75
P014,C000123,T023953,I00096,S00614,11,bottles,20.0
P031,C004825,T016546,I00251,S00416,6,oz,13.0
P030,C006010,T02570,I00222,S00199,3,ct,12.0
P005,C000901,T029786,I00048,S00385,4,cans,8.0
P010,C007473,T042081,I00009,S00309,3,cans,16.25
P006,C007203,T096246,I00205,S00420,2,ct,16.0
P034,C001127,T075391,I00239,S00248,5,pk,14.0
P001,C006548,T095322,I00254,S00553,8,oz,13.0
P023,C008666,T083450,I00024,S00121,5,cans,$16.25
P026,C000492,T043183,I00022,S00120,2,cans,16.25
P008,C003136,T057528,I00248,S0076,2,rolls,26.0
P037,C001057,T045301,I00240,S00441,3,ct,14.0
P032,C009067,T091722,I00123,S00136,11,ct,45.0
P018,C006927,T065706,I00112,S00161,8,ct.,14.0
P009,C000752,T082518,I00148,S0079,1,ct,15.0
P004,C005764,T077688,I00026,S00521,11,cans,$6.75
P024,C002718,T026191,I00068,S00482,11,bottles,20.0
P036,C003336,T094759,I00075,S00655,3,cans,15.5
P039,C003829,T019682,I00148,S00265,5,ct,15.0
P016,C008422,T082562,I00138,S00699,9,ct,32.0
P018,C003531,T03559,I00012,S00170,11,cans,$16.25
P002,C006792,T086768,I00222,S00620,2,ct,12.0
P001,C007439,T082249,I00064,S00340,6,cans,40.0
P029,C007816,T032512,I00196,S00516,5,ct,16.0
P012,C000495,T068137,I00031,S00368,2,cans,16.0
P031,C005974,T054035,I00018,S0071,11,cans,6.75
P014,C000265,T037775,I00237,S00342,10,ct,16.0
P019,C007329,T050228,I00217,S0059,6,oz,20.5
P036,C001144,T022214,I00127,S00611,1,pk,12.5
P023,C008936,T016166,I00084,S00488,11,bottles,18.0
P028,C008546,T074423,I00180,S00606,11,ct,19.0
P023,C004336,T057528,I00006,S00624,7,cans,16.25
P036,C001254,T090720,I00172,S00648,2,oz,19.0
P012,C008987,T079237,I00112,S00249,10,ct.,14.0
P038,C003332,T033786,I00104,S00540,10,ct,14.0
P031,C007264,T081677,I00048,S00564,5,cans,8.0
P003,C004915,T075525,I00192,S00618,2,ct,24.0
P002,C001330,T050578,I00015,S00314,10,cans,6.75
P001,C005306,T088564,I00261,S00359,3,ct,33.0
P006,C002836,T024296,I00207,S00256,6,ct,14.0
P009,C007585,T039945,I00018,S00313,9,cans,$6.75
P014,C002005,T015564,I00195,S00207,10,ct,12.5
P024,C009161,T071689,I00081,S00406,8,bottles,29.0
P020,C003436,T018474,I00172,S0067,10,oz,19.0
P023,C001299,T024126,I00132,S00333,7,ct,14.0
P004,C005444,T093208,I00018,S00529,6,cans,6.75
P009,C003307,T064710,I00249,S00310,9,pack,16.0
P037,C001178,T079115,I00248,S00593,10,rolls,26.0
P020,C008930,T031142,I00239,S0064,2,pk,14.0
P018,C000475,T092906,I00138,S00289,3,ct,32.0
P003,C000804,T012010,I00132,S00202,5,ct,14.0
P027,C005984,T065308,I00077,S00430,5,cans,6.75
P011,C001183,T024022,I00029,S00333,2,cans,11.5
P001,C003456,T011509,I00003,S0034,8,cans,$6.75
P029,C006898,T070565,I00023,S00516,9,cans,6.75
P038,C000074,T03605,I00218,S00500,2,ct,6.0
P001,C008534,T073433,I00193,S00666,10,ct,18.0
P023,C002460,T096398,I00225,S00651,2,ct,17.0
P008,C007263,T073243,I00213,S0073,3,ct,$12.0
P010,C003525,T026065,I00045,S00578,5,cans,8.0
P028,C007783,T033028,I00123,S00278,4,ct,45.0
P005,C008174,T025824,I00020,S00114,6,cans,6.75
P019,C007782,T041852,I00088,S0081,2,bottles,17.0
P032,C007646,T056263,I00017,S00558,6,cans,6.75
P025,C006105,T088005,I00078,S00440,10,bottles,$17.0
P026,C007165,T064906,I00075,S00604,4,cans,15.5
P019,C003553,T072434,I00010,S00448,5,cans,6.75
P021,C006480,T065121,I00100,S00371,10,oz.,10.0
P013,C008590,T025729,I00049,S00584,5,cans,8.0
P025,C006597,T079804,I00181,S00668,11,ct,26.0
P002,C008420,T06083,I00090,S00304,9,bottles,9.0
P032,C000097,T086715,I00239,S00670,8,pk,14.0
P029,C005996,T095588,I00046,S00667,11,cans,8.0
P024,C000052,T023953,I00083,S00608,9,bottles,14.0
P023,C004300,T029850,I00121,S0066,4,ct,17.0
P012,C007759,T017209,I00051,S00505,9,cans,23.0
P028,C005941,T094472,I00144,S00557,7,ct,20.0
P020,C007587,T039375,I00227,S00474,11,pk,15.0
P016,C006507,T031842,I00001,S00180,6,cans,11.5
P022,C001117,T094527,I00100,S00263,9,oz.,10.0
P022,C001655,T022909,I00136,S00254,6,ct,19.5
P038,C004938,T085114,I00041,S0032,11,bottles,23.0
P035,C004957,T071285,I00201,S00270,8,bars,23.0
P035,C007287,T096273,I00022,S00308,3,cans,16.25
P037,C005209,T09105,I00235,S00323,10,ct,14.0
P034,C002819,T00200,I00161,S00433,2,Bags,$17.0
P013,C003614,T066653,I00166,S00119,1,bags,17.0
P023,C004802,T04124,I00193,S00126,11,ct,18.0
P036,C002324,T088178,I00128,S00287,6,pk,16.0
P007,C002125,T066555,I00025,S00409,10,cans,11.5
P029,C001854,T014786,I00026,S0068,8,cans,6.75
P035,C000737,T019896,I00203,S00593,3,ct,18.0
P018,C006461,T04153,I00058,S00238,3,bottles,22.0
P018,C004199,T037417,I00170,S00686,4,ct.,15.0
P027,C003023,T013500,I00073,S00669,8,bottles,20.0
P009,C008555,T085369,I00174,S00287,6,oz,18.0
P018,C003421,T044981,I00137,S00368,7,ct,24.0
P017,C001752,T020225,I00217,S00461,2,oz,20.5
P028,C006799,T083693,I00107,S00242,1,oz,20.0
P021,C005716,T012087,I00228,S00383,8,pk,14.0
P021,C005333,T025729,I00042,S00380,6,bottles,28.0
P029,C002715,T090127,I00158,S00676,3,,17.0
P033,C005644,T079103,I00206,S00203,1,ct,15.0
P017,C007845,T063347,I00220,S00138,7,ct,14.0
P019,C002047,T06998,I00115,S00536,6,ct,53.0
P015,C002581,T081031,I00077,S00673,10,cans,$6.75
P020,C006227,T034319,I00095,S00712,9,botlltes,16.0
P035,C008604,T027814,I00072,S00591,5,bottles,20.0
P007,C003568,T025632,I00253,S00201,6,bags,21.0
P015,C004712,T08820,I00109,S00624,9,oz,17.0
P008,C006960,T034829,I00085,S00656,1,bottles,18.0
P017,C008876,T062040,I00052,S00694,8,cans,40.0
P007,C004553,T054916,I00163,S00295,5,bags,15.0
P006,C001290,T092983,I00062,S00677,1,cans,37.0
P008,C006044,T084897,I00130,S0044,2,ct,14.0
P012,C006980,T040296,I00133,S00518,8,ct,15.0
P007,C008042,T067790,I00231,S00360,8,pk,$16.0
P039,C005511,T046475,I00028,S00260,9,cans,6.75
P032,C000528,T037206,I00179,S0007,3,ct,19.0
P039,C001725,T00187,I00091,S00581,4,bottles,7.5
P037,C007088,T099907,I00111,S00103,8,ct,16.0
P037,C001728,T077148,I00026,S00133,8,cans,6.75
P036,C003156,T061376,I00188,S00398,1,ct,14.0
P038,C005728,T092983,I00197,S0027,2,bars,15.0
P020,C008200,T024126,I00218,S00650,3,ct,6.0
P018,C001401,T042606,I00222,S00564,1,ct,12.0
P012,C003475,T02226,I00044,S00505,2,cans,8.0
P035,C000473,T097451,I00179,S00407,1,ct,19.0
P025,C001488,T040056,I00205,S00724,2,ct,$16.0
P017,C000183,T050228,I00237,S0064,8,ct,16.0
P005,C001292,T03605,I00137,S0097,3,ct,24.0
P027,C007172,T093769,I00166,S00161,8,bags,17.0
P008,C004600,T048570,I00256,S00247,4,pack,20.0
P012,C002955,T072341,I00114,S0043,7,ct,44.0
P036,C004895,T03572,I00020,S00197,10,cans,6.75
P005,C001528,T076633,I00238,S00497,9,ct,12.0
P005,C001747,T06321,I00123,S00506,1,ct,45.0
P029,C008992,T020151,I00072,S00202,2,bottles,20.0
P004,C007371,T049411,I00094,S00348,1,bottles,$11.0
P009,C005362,T095053,I00076,S00221,3,cans,6.75
P022,C007862,T036948,I00159,S0033,9,bags,17.0
P036,C008203,T051977,I00207,S00295,2,ct,14.0
P032,C008921,T073243,I00210,S00433,2,ct,15.0
P036,C007698,T021330,I00099,S0089,1,oz,6.0
P019,C005294,T025632,I00085,S0083,4,bottles,18.0
P035,C000225,T053160,I00259,S00508,9,pack,26.0
P013,C007800,T074476,I00226,S00593,1,lb,15.0
P014,C003530,T07242,I00151,S0035,6,bags,17.0
P005,C006435,T017209,I00014,S00473,11,cans,6.75
P031,C006010,T054716,I00015,S00611,4,cans,6.75
P008,C007561,T057224,I00196,S00560,5,ct,16.0
P013,C006713,T07304,I00203,S00530,7,ct,18.0
P035,C000246,T029635,I00192,S00472,5,ct,24.0
P015,C002290,T052710,I00036,S00319,9,cans,$16.0
P034,C004276,T06110,I00255,S00493,6,pack,20.0
P037,C004303,T085520,I00189,S00416,4,ct.,13.0
P002,C001610,T046633,I00223,S00369,6,ct,13.5
P008,C003632,T049362,I00212,S0061,1,ct,12.0
P032,C008339,T045539,I00167,S00397,1,ct,14.0
P011,C007506,T073016,I00082,S00698,1,ct,15.0
P017,C005606,T062073,I00142,S00334,2,ct,12.5
P029,C008139,T042482,I00223,S00662,1,ct,13.5
P016,C008069,T075776,I00017,S00522,4,cans,6.75
P010,C007705,T094905,I00250,S00112,8,pack,19.5
P009,C004870,T042646,I00064,S0022,10,cans,40.0
P033,C003740,T033811,I00102,S00503,9,tubs,16.0
P030,C007326,T029253,I00016,S00190,7,cans,16.25
P011,C005636,T09920,I00071,S00716,6,bottles,17.5
P039,C000321,T048392,I00073,S00671,10,bottles,20.0
P033,C007269,T025239,I00197,S00214,6,bars,15.0
P038,C004028,T052881,I00212,S00173,1,ct,12.0
P004,C004192,T093769,I00177,S00291,3,ct,35.0
P016,C009070,T052223,I00094,S0023,8,bottles,11.0
P036,C001831,T020175,I00093,S00264,6,bottles,13.0
P026,C000291,T031196,I00077,S00350,9,cans,6.75
P015,C006374,T073688,I00107,S00479,10,oz,20.0
P012,C004752,T061818,I00111,S00409,4,ct,16.0
P020,C000569,T090498,I00027,S0023,11,cans,16.25
P007,C005765,T015326,I00090,S00290,3,bottles,9.0
P016,C003162,T056389,I00084,S00597,5,bottles,18.0
P025,C006579,T051712,I00010,S0082,6,cans,6.75
P003,C000871,T042758,I00070,S00197,5,bottles,17.5
P015,C001675,T036009,I00194,S00347,9,bars,23.0
P031,C009168,T069309,I00217,S00318,11,oz,20.5
P027,C007179,T032788,I00211,S0055,3,ct.,$15.0
P038,C009170,T073667,I00167,S0055,3,ct,14.0
P030,C008163,T011452,I00255,S00245,2,pack,20.0
P028,C006863,T090943,I00160,S00292,6,bags,17.0
P027,C000782,T020324,I00151,S00352,8,bags,17.0
P005,C007699,T016907,I00028,S00593,4,cans,6.75
P026,C005712,T082249,I00160,S00396,11,bags,17.0
P010,C004721,T044718,I00068,S00297,3,bottles,20.0
P032,C008223,T090292,I00039,S00561,5,bottles,26.0
P013,C004759,T023890,I00216,S00499,11,ct,16.5
P011,C008143,T063348,I00214,S00691,6,oz,19.5
P009,C000075,T065308,I00012,S00103,3,cans,16.25
P035,C001479,T065991,I00098,S00678,4,oz,10.0
P024,C006509,T033101,I00125,S00605,6,ct,15.0
P037,C005934,T01259,I00115,S00127,11,ct,$53.0
P023,C006268,T027543,I00080,S00239,4,bottles,22.0
P031,C003109,T07107,I00008,S00497,1,cans,16.25
P016,C005084,T014786,I00097,S00707,11,cartons,19.0
P024,C009063,T096290,I00136,S00164,9,ct,19.5
P018,C004232,T070011,I00098,S0083,10,oz,10.0
P033,C008498,T022264,I00138,S00279,11,ct,32.0
P031,C007669,T028144,I00100,S00140,11,oz.,10.0
