payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P023,C005563,T056361,I00024,S00587,10,cans,16.25
P009,C001810,T030887,I00120,S00565,6,ct,9.0
P020,C003718,T093443,I00157,S00331,6,bags,17.0
P023,C004215,T035367,I00057,S00447,6,bottles,24.0
P010,C002557,T034539,I00239,S00293,1,pk,14.0
P023,C006179,T045357,I00105,S00151,5,ct,16.5
P010,C002076,T083235,I00248,S00252,9,rolls,$26.0
P005,C003182,T037747,I00190,S00467,9,ct,$16.0
P031,C007490,T082204,I00119,S00120,2,ct,53.0
P032,C004151,T015900,I00254,S0086,2,oz,13.0
P016,C007143,T075887,I00202,S00669,5,ct.,12.0
P030,C003501,T074873,I00254,S00193,9,oz,13.0
P037,C005912,T02378,I00047,S00120,7,cans,8.0
P015,C009069,T099661,I00086,S00208,5,cans,18.0
P006,C006949,T079601,I00121,S00283,3,ct,17.0
P022,C007468,T090373,I00210,S0090,5,ct,$15.0
P017,C007516,T019776,I00019,S00624,5,cans,6.75
P037,C006791,T065141,I00211,S00535,7,ct.,15.0
P002,C007902,T057274,I00162,S0040,1,Bags,16.0
P038,C004210,T050972,I00121,S00132,5,ct,17.0
P015,C003231,T084688,I00174,S00235,3,oz,18.0
P034,C001641,T012772,I00014,S00355,5,cans,6.75
P010,C006590,T028208,I00202,S00247,10,ct.,12.0
P011,C000335,T027612,I00124,S00123,6,ct,15.0
P037,C008796,T02013,I00048,S00374,7,cans,8.0
P006,C004385,T034621,I00184,S00506,4,ct,12.0
P029,C006046,T090317,I00169,S0051,3,ct,$17.0
P020,C003039,T017636,I00142,S00631,8,ct,12.5
P032,C002330,T010847,I00202,S00453,1,ct.,$12.0
P009,C002365,T01368,I00114,S00644,4,ct,44.0
P029,C007510,T033890,I00205,S00712,4,ct,16.0
P011,C006543,T077412,I00002,S00407,11,cans,6.75
P031,C008273,T094981,I00243,S0099,1,oz,16.0
P005,C004135,T038424,I00065,S00401,3,bottles,20.0
P028,C003782,T065823,I00029,S00462,9,cans,11.5
P032,C003844,T058560,I00113,S00311,1,ct,42.0
P033,C008223,T040840,I00067,S0039,9,bottles,8.0
P006,C006568,T073641,I00046,S00183,1,cans,8.0
P036,C005899,T035833,I00127,S00550,6,pk,12.5
P024,C005673,T090622,I00110,S00211,9,oz,22.5
P035,C007482,T089661,I00113,S0085,9,ct,42.0
P025,C002621,T092811,I00201,S00504,9,bars,23.0
P032,C002298,T08658,I00057,S00252,11,bottles,24.0
P018,C001973,T091625,I00094,S00291,5,bottles,11.0
P003,C003644,T046388,I00038,S00465,5,bottles,23.0
P013,C005067,T052911,I00169,S00667,10,ct,17.0
P026,C008407,T031303,I00111,S00153,1,ct,$16.0
P004,C000617,T085884,I00198,S00263,9,ct,$12.0
P014,C000963,T058107,I00126,S00330,7,ct,25.0
P038,C007367,T093040,I00050,S00652,5,cans,8.0
P031,C004296,T024131,I00020,S00263,7,cans,6.75
P025,C001612,T040174,I00016,S00225,7,cans,$16.25
P022,C004293,T04700,I00035,S00453,9,cans,16.0
P008,C002961,T090388,I00249,S00365,11,pack,16.0
P039,C008165,T079277,I00199,S00248,7,ct,15.0
P033,C006019,T09144,I00122,S00178,4,ct,15.0
P031,C003415,T02378,I00154,S00181,2,Bags,15.0
P008,C006481,T040568,I00122,S00123,4,ct,15.0
P016,C003940,T029185,I00242,S00135,7,pk,12.0
P022,C005831,T059185,I00185,S00393,6,ct,14.0
P004,C001226,T046320,I00004,S00180,8,cans,6.75
P016,C005203,T049762,I00056,S00212,7,bottles,24.0
P037,C005780,T085757,I00022,S00198,6,cans,16.25
P034,C006361,T079896,I00072,S00644,6,bottles,20.0
P039,C006956,T060811,I00138,S00537,3,ct,32.0
P027,C003639,T031685,I00171,S00719,8,ct,16.0
P033,C005441,T031303,I00128,S00632,1,pk,16.0
P009,C004297,T090076,I00013,S00566,10,cans,6.75
P012,C008924,T076592,I00079,S00534,4,bottles,17.0
P037,C000487,T047887,I00016,S00348,3,cans,16.25
P032,C005537,T025295,I00138,S00272,4,ct,32.0
P037,C001782,T079213,I00177,S00241,1,ct,35.0
P006,C002777,T07444,I00255,S00186,6,pack,20.0
P009,C000090,T064883,I00119,S00244,2,ct,53.0
P021,C007239,T090275,I00198,S00469,4,ct,12.0
P010,C000793,T051150,I00240,S00454,10,ct,14.0
P024,C000573,T023559,I00003,S00125,8,cans,6.75
P027,C004430,T052734,I00189,S00299,3,ct.,13.0
P011,C002002,T091977,I00126,S00539,10,ct,25.0
P029,C006960,T059393,I00065,S00716,6,bottles,$20.0
P006,C005910,T08556,I00126,S00507,2,ct,25.0
P010,C001789,T023740,I00119,S00550,4,ct,53.0
P036,C007224,T061834,I00202,S00209,1,ct.,12.0
P023,C008154,T03338,I00174,S00460,7,oz,18.0
P031,C002909,T056361,I00124,S00261,10,ct,15.0
P029,C000978,T086758,I00177,S00327,4,ct,35.0
P010,C003066,T033668,I00091,S00174,7,bottles,7.5
P019,C004262,T070852,I00136,S00488,3,ct,19.5
P023,C006799,T068357,I00193,S00505,2,ct,18.0
P026,C002653,T083839,I00142,S00590,4,ct,12.5
P016,C001705,T024513,I00096,S00536,1,bottles,20.0
P012,C009105,T038817,I00092,S00673,1,bottles,10.0
P013,C006580,T040568,I00107,S00342,5,oz,20.0
P037,C008834,T029207,I00035,S00308,4,cans,16.0
P013,C008255,T093487,I00060,S00503,2,bottles,22.0
P018,C001899,T077436,I00048,S00223,6,cans,8.0
P005,C001294,T020970,I00172,S00475,9,oz,19.0
P031,C005933,T058952,I00018,S00363,5,cans,$6.75
P019,C007678,T064270,I00071,S00488,6,bottles,17.5
P014,C006464,T030975,I00019,S00457,10,cans,6.75
P014,C003373,T050274,I00142,S00685,5,ct,12.5
P020,C009180,T024219,I00052,S00403,7,cans,40.0
P001,C001361,T087234,I00254,S00660,4,oz,13.0
P031,C005778,T023452,I00231,S00718,1,pk,16.0
P006,C006559,T041022,I00202,S00675,4,ct.,12.0
P023,C006609,T042980,I00016,S00252,2,cans,16.25
P013,C000352,T020507,I00018,S00405,1,cans,$6.75
P024,C002280,T095212,I00133,S00400,1,ct,15.0
P023,C000508,T094377,I00204,S00529,10,ct,17.0
P037,C008032,T08424,I00163,S00187,9,bags,15.0
P016,C004122,T090373,I00105,S00669,7,ct,16.5
P006,C004879,T078055,I00002,S00191,6,cans,6.75
P009,C008340,T050716,I00092,S00498,3,bottles,$10.0
P016,C003193,T034879,I00218,S0026,11,ct,6.0
P001,C002820,T069607,I00255,S00674,9,pack,$20.0
P025,C007972,T082582,I00254,S00724,7,oz,13.0
P030,C000067,T018001,I00221,S00611,1,ct,14.0
P038,C007991,T059324,I00221,S00186,2,ct,14.0
P006,C000047,T034950,I00167,S0050,6,ct,14.0
P018,C001270,T042101,I00093,S00449,2,bottles,13.0
P023,C005288,T074873,I00112,S00524,4,ct.,$14.0
P006,C008232,T033849,I00123,S00692,6,ct,45.0
P014,C001835,T036370,I00035,S00480,4,cans,16.0
P018,C002161,T04853,I00251,S00334,10,oz,13.0
P027,C005205,T052202,I00195,S00488,7,ct,12.5
P012,C008420,T025372,I00084,S00175,6,bottles,18.0
P010,C001052,T079252,I00124,S00274,8,ct,15.0
P028,C003030,T069607,I00229,S00140,7,ct,13.0
P038,C002328,T013713,I00226,S00565,3,lb,15.0
P008,C005572,T097016,I00187,S00392,8,ct.,13.0
P039,C006022,T097932,I00260,S00445,5,ct,15.0
P019,C008162,T054715,I00231,S00367,6,pk,$16.0
P035,C000130,T043968,I00129,S00454,10,pk,18.0
P006,C004850,T059134,I00174,S00298,2,oz,18.0
P024,C001285,T080267,I00104,S00652,10,ct,$14.0
P010,C000303,T03417,I00234,S00458,9,ct,13.0
P008,C008645,T041751,I00228,S00691,10,pk,14.0
P019,C001017,T084688,I00239,S0031,1,pk,14.0
P033,C008758,T099221,I00211,S00690,3,ct.,15.0
P030,C003910,T051244,I00058,S00699,9,bottles,22.0
P013,C001656,T057274,I00218,S00487,8,ct,6.0
P038,C001526,T074867,I00089,S00559,10,bottles,9.0
P023,C006546,T016218,I00058,S00259,2,bottles,22.0
P022,C003021,T058283,I00035,S00454,7,cans,16.0
P004,C003389,T066871,I00081,S00583,7,bottles,29.0
P011,C005535,T068301,I00248,S00213,2,rolls,26.0
P006,C003788,T075782,I00231,S00528,3,pk,16.0
P035,C008736,T074525,I00086,S00576,7,cans,18.0
P022,C008590,T09199,I00004,S00360,1,cans,6.75
P030,C007312,T052329,I00116,S00363,9,ct,48.0
P025,C002355,T060198,I00237,S0030,10,ct,16.0
P010,C006165,T027645,I00130,S00690,10,ct,14.0
P036,C006663,T070732,I00242,S00691,10,pk,12.0
P005,C003614,T049198,I00213,S00703,7,ct,12.0
P014,C007173,T056672,I00171,S00244,10,ct,16.0
P013,C006771,T011043,I00026,S00253,1,cans,6.75
P021,C006254,T042250,I00156,S00507,3,bags,17.0
P039,C007338,T045588,I00038,S00264,2,bottles,$23.0
P011,C007372,T017187,I00254,S00295,10,oz,13.0
P018,C001809,T032190,I00124,S00354,10,ct,15.0
P003,C007583,T048632,I00185,S00612,2,ct,14.0
P019,C003164,T071247,I00027,S00167,1,cans,16.25
P002,C006286,T02260,I00063,S0015,6,cans,$40.0
P005,C007952,T029035,I00152,S00521,4,bags,15.0
P004,C000462,T016846,I00191,S00412,3,bars,24.0
P015,C005659,T05361,I00178,S00672,3,ct,$26.0
P024,C009094,T047918,I00205,S00615,6,ct,16.0
P010,C000976,T035350,I00255,S00565,7,pack,20.0
P039,C004986,T023694,I00196,S00296,4,ct,16.0
P016,C004873,T015788,I00148,S00544,1,ct,15.0
P027,C002515,T071825,I00250,S00124,5,pack,19.5
P024,C008847,T071110,I00080,S00108,11,bottles,22.0
P017,C008351,T065460,I00014,S00607,2,cans,$6.75
P030,C001379,T053580,I00258,S00265,2,pk,21.0
P011,C003643,T083888,I00170,S00682,9,ct.,15.0
P002,C003658,T032190,I00176,S00450,4,ct,19.0
P011,C005399,T050972,I00223,S00396,1,ct,13.5
P024,C004871,T012819,I00080,S00545,10,bottles,22.0
P001,C000022,T014309,I00055,S00316,4,cans,40.0
P019,C002811,T072339,I00026,S00306,1,cans,$6.75
P011,C003569,T028650,I00007,S00613,6,cans,6.75
P023,C001551,T076097,I00117,S00552,6,ct,46.0
P020,C003348,T047918,I00126,S00414,6,ct,25.0
P038,C008438,T060759,I00181,S00607,3,ct,26.0
P013,C004489,T080114,I00076,S00538,8,cans,6.75
P003,C003425,T015788,I00050,S00278,9,cans,$8.0
P034,C003323,T067758,I00006,S00702,9,cans,$16.25
P014,C002235,T03251,I00008,S00252,6,cans,16.25
P003,C004753,T018446,I00083,S00592,5,bottles,14.0
P014,C006593,T021346,I00173,S00266,9,ct,19.0
P008,C006344,T074525,I00200,S00717,11,bars,20.0
P039,C007216,T080208,I00232,S00167,3,ct,$12.0
P026,C001208,T014847,I00039,S00465,11,bottles,26.0
P016,C001981,T075782,I00025,S00285,11,cans,11.5
P007,C008263,T065137,I00141,S00313,9,ct,18.0
P036,C006445,T073720,I00184,S00498,2,ct,12.0
P020,C001504,T068357,I00153,S0053,6,bags,15.0
P009,C005774,T037380,I00161,S00311,5,Bags,$17.0
P025,C003270,T042713,I00233,S00298,6,ct,12.0
P035,C001503,T041134,I00093,S00714,4,bottles,13.0
P003,C008253,T023178,I00061,S00268,5,cans,55.0
P017,C008018,T071389,I00250,S00532,10,pack,19.5
P037,C007210,T087809,I00065,S00192,5,bottles,20.0
P034,C007384,T039465,I00161,S0038,2,Bags,17.0
P028,C008337,T047189,I00002,S0095,3,cans,6.75
P004,C005256,T091958,I00193,S0009,7,ct,18.0
P015,C003400,T04260,I00108,S00478,11,oz,$15.0
P014,C005956,T090852,I00031,S00160,9,cans,$16.0
P001,C000291,T058624,I00217,S00500,10,oz,20.5
P033,C000107,T079832,I00127,S00320,4,pk,12.5
P024,C000006,T010008,I00064,S00162,11,cans,40.0
P034,C001039,T027319,I00050,S00115,5,cans,8.0
P039,C003291,T091774,I00260,S00249,2,ct,15.0
P032,C000872,T06602,I00032,S00174,9,cans,16.0
P036,C008382,T053724,I00045,S00381,5,cans,8.0
P009,C003305,T075887,I00039,S00249,2,bottles,26.0
P009,C000164,T02759,I00002,S00101,6,cans,6.75
P021,C003520,T02260,I00174,S0016,5,oz,18.0
P028,C008168,T041134,I00259,S00256,3,pack,26.0
P020,C006687,T039870,I00023,S00290,5,cans,6.75
P022,C000288,T027183,I00180,S00272,9,ct,19.0
P034,C007344,T059659,I00108,S0042,3,oz,15.0
P009,C008948,T080735,I00169,S00514,1,ct,17.0
P019,C001354,T059185,I00024,S00526,2,cans,16.25
P027,C005747,T071491,I00076,S00560,2,cans,6.75
P024,C006895,T08337,I00226,S00252,5,lb,15.0
