payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P015,C006541,T099594,I00118,S00647,2,ct,42.0
P002,C000101,T015762,I00064,S00553,1,cans,40.0
P016,C007049,T014932,I00146,S00126,3,ct,21.0
P038,C008794,T045536,I00184,S00107,3,ct,12.0
P031,C004093,T035159,I00117,S00361,10,ct,46.0
P030,C000215,T027453,I00242,S00580,11,pk,12.0
P010,C006287,T084729,I00151,S00240,9,bags,17.0
P011,C004309,T038852,I00104,S00109,9,ct,14.0
P011,C006578,T095142,I00115,S00187,7,ct,53.0
P027,C006378,T096383,I00237,S00158,5,ct,16.0
P034,C003767,T084957,I00261,S00221,4,ct,33.0
P026,C001265,T063935,I00119,S00298,2,ct,53.0
P017,C000947,T053072,I00107,S00546,6,oz,20.0
P016,C000990,T065714,I00068,S00545,1,bottles,20.0
P039,C003834,T023545,I00209,S00165,11,ct,13.0
P036,C002899,T048130,I00212,S00541,10,ct,12.0
P009,C008146,T022790,I00088,S00325,8,bottles,17.0
P013,C006953,T054311,I00186,S0062,9,ct,13.0
P021,C006268,T010167,I00205,S00181,8,ct,16.0
P020,C000051,T068688,I00231,S00541,11,pk,16.0
P033,C004944,T016992,I00057,S00633,9,bottles,24.0
P009,C006192,T011473,I00074,S00285,3,bottles,20.0
P007,C005361,T072925,I00137,S00522,5,ct,24.0
P027,C003733,T078121,I00069,S00317,5,bottles,17.5
P029,C008679,T012164,I00133,S00250,1,ct,15.0
P034,C009010,T064365,I00238,S0039,11,ct,12.0
P023,C007522,T046344,I00005,S0017,2,cans,6.75
P031,C001662,T085388,I00043,S00716,9,bottles,24.0
P006,C007005,T060433,I00132,S00147,8,ct,14.0
P023,C002529,T010988,I00065,S00183,5,bottles,20.0
P021,C003228,T014462,I00072,S00603,10,bottles,20.0
P011,C005366,T044384,I00044,S00357,8,cans,8.0
P012,C008954,T046764,I00228,S0053,2,pk,$14.0
P031,C005579,T010829,I00127,S00499,11,pk,12.5
P030,C002251,T081059,I00117,S0037,7,ct,46.0
P029,C007761,T045536,I00045,S00458,7,cans,8.0
P017,C000539,T03583,I00215,S00508,1,ct.,14.0
P032,C003287,T038121,I00102,S00524,8,tubs,16.0
P018,C004029,T084779,I00252,S00197,3,ct,$11.0
P033,C001206,T059305,I00152,S0020,4,bags,15.0
P030,C000997,T011355,I00121,S0089,1,ct,17.0
P014,C004387,T057498,I00074,S00343,9,bottles,20.0
P027,C000383,T077526,I00057,S00438,11,bottles,24.0
P035,C001418,T061262,I00016,S00142,1,cans,16.25
P030,C000974,T012312,I00108,S00480,4,oz,15.0
P014,C007756,T074082,I00169,S00471,3,ct,17.0
P019,C003145,T085448,I00108,S00562,4,oz,15.0
P032,C006264,T056279,I00132,S00117,8,ct,14.0
P028,C000367,T018081,I00167,S0073,4,ct,14.0
P013,C005941,T090433,I00108,S00266,11,oz,15.0
P020,C004669,T048566,I00116,S00703,1,ct,48.0
P036,C007489,T027103,I00204,S00614,8,ct,17.0
P029,C004585,T055330,I00078,S00504,4,bottles,17.0
P005,C003625,T018933,I00111,S00334,9,ct,16.0
P014,C004549,T017736,I00134,S00237,6,ct,16.0
P030,C003401,T052193,I00029,S00500,11,cans,11.5
P009,C000187,T068826,I00166,S00314,6,bags,17.0
P002,C005801,T00649,I00125,S00542,11,ct,15.0
P015,C003366,T042755,I00200,S00699,3,bars,20.0
P020,C008327,T098549,I00049,S0071,10,cans,8.0
P011,C009070,T081974,I00257,S00624,1,ct,21.0
P035,C006898,T071134,I00231,S00592,5,pk,16.0
P028,C002720,T017222,I00121,S00439,5,ct,17.0
P014,C004698,T09728,I00191,S00503,7,bars,24.0
P022,C008786,T023190,I00130,S00540,5,ct,14.0
P029,C003695,T080658,I00239,S00169,10,pk,14.0
P026,C009059,T029319,I00056,S00552,10,bottles,24.0
P006,C002364,T095162,I00107,S00716,10,oz,20.0
P006,C004267,T085422,I00249,S00494,2,pack,16.0
P029,C000159,T063119,I00159,S00156,4,bags,$17.0
P015,C008333,T01395,I00203,S00243,8,ct,18.0
P027,C004750,T084165,I00119,S00445,8,ct,53.0
P017,C004678,T080251,I00255,S00631,7,pack,20.0
P017,C002339,T014587,I00055,S00538,8,cans,40.0
P017,C006901,T088001,I00169,S00149,4,ct,$17.0
P015,C005112,T065532,I00005,S00165,11,cans,6.75
P009,C000570,T03129,I00043,S00303,1,bottles,24.0
P003,C001256,T099287,I00069,S00478,3,bottles,17.5
P016,C002279,T084167,I00224,S00619,10,oz,11.0
P033,C009122,T012981,I00159,S00596,11,bags,17.0
P009,C003042,T089028,I00065,S00197,4,bottles,20.0
P013,C006011,T034412,I00203,S00665,10,ct,18.0
P023,C004841,T031131,I00223,S00202,1,ct,13.5
P008,C007191,T082943,I00136,S0024,8,ct,19.5
P033,C006445,T099594,I00058,S00573,11,bottles,22.0
P035,C006436,T072054,I00020,S00418,8,cans,6.75
P038,C005560,T051033,I00075,S00240,11,cans,$15.5
P007,C002572,T095015,I00226,S00631,7,lb,15.0
P004,C007282,T030069,I00136,S00703,6,ct,19.5
P030,C001444,T09893,I00217,S00224,4,oz,20.5
P017,C002379,T012795,I00061,S00502,1,cans,55.0
P001,C006728,T098426,I00066,S00274,4,bottles,$20.0
P039,C003859,T071966,I00096,S00502,11,bottles,20.0
P006,C000504,T049600,I00175,S0046,9,oz,19.0
P001,C004449,T082093,I00195,S00399,10,ct,12.5
P018,C003007,T075205,I00122,S00126,3,ct,15.0
P015,C008538,T072054,I00020,S00565,1,cans,6.75
P038,C007711,T083408,I00231,S00174,1,pk,$16.0
P019,C006446,T04334,I00033,S00660,3,cans,16.0
P022,C000776,T021701,I00162,S0068,3,Bags,16.0
P026,C005622,T031180,I00099,S00259,10,oz,6.0
P032,C000295,T096225,I00160,S00570,6,bags,17.0
P023,C008581,T032434,I00119,S00689,5,ct,53.0
P004,C008127,T025930,I00198,S00163,1,ct,12.0
P014,C008625,T017951,I00046,S00533,6,cans,8.0
P013,C005794,T087311,I00215,S00626,3,ct.,14.0
P023,C003696,T04745,I00047,S00247,10,cans,8.0
P031,C005119,T045720,I00041,S00128,9,bottles,23.0
P029,C006724,T020083,I00102,S00444,7,tubs,16.0
P026,C006967,T030929,I00103,S00644,4,tubs,$15.0
P019,C008187,T059023,I00075,S00243,10,cans,15.5
P026,C007421,T038301,I00048,S00471,1,cans,8.0
P006,C001272,T065126,I00057,S0010,9,bottles,24.0
P021,C003818,T075598,I00099,S00674,2,oz,6.0
P033,C004055,T089496,I00153,S00610,1,bags,15.0
P015,C007997,T011353,I00074,S00477,9,bottles,$20.0
P004,C003568,T047553,I00194,S00112,7,bars,23.0
P025,C008946,T026607,I00001,S00655,4,cans,11.5
P004,C008075,T090903,I00058,S00245,4,bottles,22.0
