payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P021,C008228,T090559,I00212,S00124,3,ct,12.0
P028,C003992,T011259,I00068,S00335,3,bottles,20.0
P038,C008274,T040741,I00060,S00241,3,bottles,22.0
P028,C002247,T033610,I00073,S00679,8,bottles,20.0
P026,C007296,T075890,I00040,S00425,11,bottles,22.0
P029,C001586,T076605,I00250,S00295,1,pack,19.5
P002,C007622,T070074,I00207,S00352,4,ct,14.0
P031,C009023,T015750,I00074,S0005,7,bottles,20.0
P012,C000744,T070074,I00135,S00289,7,ct.,14.0
P001,C003643,T058581,I00096,S00169,4,bottles,20.0
P013,C005797,T053123,I00126,S00113,5,ct,25.0
P015,C004343,T091452,I00149,S00699,3,ct,15.0
P022,C002685,T097260,I00104,S00599,9,ct,14.0
P016,C007486,T052130,I00036,S00231,9,cans,16.0
P032,C006366,T025737,I00073,S00152,7,bottles,20.0
P021,C008863,T053839,I00036,S0042,9,cans,16.0
P004,C005319,T024979,I00113,S00153,7,ct,42.0
P010,C001470,T018255,I00039,S00681,5,bottles,26.0
P017,C008987,T026688,I00201,S00203,11,bars,23.0
P002,C002262,T04917,I00232,S00277,7,ct,12.0
P002,C005737,T05161,I00004,S00314,1,cans,6.75
P035,C002464,T087666,I00148,S0068,11,ct,15.0
P025,C003333,T058926,I00140,S00395,8,ct,29.0
P024,C000892,T04373,I00088,S00106,10,bottles,17.0
P005,C007773,T071081,I00176,S00403,9,ct,19.0
P019,C001601,T00137,I00060,S00259,5,bottles,22.0
P002,C007256,T05314,I00250,S0063,10,pack,19.5
P029,C003598,T027671,I00022,S0025,2,cans,16.25
P010,C005953,T041243,I00069,S0029,11,bottles,17.5
P032,C005664,T028850,I00160,S00630,3,bags,17.0
P013,C006675,T076293,I00137,S00321,1,ct,24.0
P009,C003632,T029501,I00229,S00706,5,ct,13.0
P017,C009071,T094069,I00222,S00468,6,ct,12.0
P035,C000663,T065722,I00179,S00252,10,ct,19.0
P003,C003263,T03739,I00043,S00253,8,bottles,24.0
P025,C007102,T07626,I00077,S00332,11,cans,6.75
P012,C005936,T039376,I00157,S00375,1,bags,17.0
P019,C000460,T090378,I00015,S00509,11,cans,6.75
P020,C004970,T050768,I00140,S00266,5,ct,29.0
P001,C004041,T042114,I00091,S00204,1,bottles,7.5
P033,C003311,T013800,I00251,S00411,3,oz,13.0
P014,C002963,T00137,I00162,S0018,1,Bags,16.0
P013,C003626,T041422,I00082,S00621,9,ct,15.0
P003,C000817,T055408,I00133,S00524,8,ct,15.0
P024,C006081,T096916,I00122,S0060,8,ct,15.0
P030,C005873,T00124,I00076,S00472,8,cans,6.75
P024,C003805,T066930,I00044,S00431,2,cans,8.0
P035,C003879,T083862,I00106,S00310,7,oz,17.0
P004,C009085,T074731,I00202,S00228,11,ct.,12.0
P033,C000480,T048067,I00258,S00305,9,pk,21.0
P016,C003414,T050500,I00056,S00604,6,bottles,24.0
P035,C002913,T094860,I00247,S0067,11,oz,15.0
P019,C006317,T037690,I00126,S0048,1,ct,25.0
P007,C008452,T023817,I00054,S00482,8,cans,40.0
P024,C007517,T083702,I00255,S00585,11,pack,20.0
P029,C007622,T097286,I00213,S00175,2,ct,12.0
P017,C004429,T028178,I00123,S0061,3,ct,45.0
P012,C006836,T087398,I00124,S00472,4,ct,15.0
P017,C000480,T039882,I00170,S0033,3,ct.,15.0
P014,C003845,T05621,I00084,S00519,10,bottles,18.0
P020,C007863,T05219,I00108,S0044,3,oz,15.0
P037,C007372,T01761,I00107,S00195,11,oz,20.0
P015,C000704,T096437,I00108,S0042,2,oz,15.0
P005,C007281,T046357,I00064,S00361,10,cans,$40.0
P021,C003135,T079387,I00208,S00557,4,ct,14.0
P018,C006485,T058581,I00116,S00115,8,ct,48.0
P039,C002381,T080632,I00065,S00263,8,bottles,20.0
P004,C005607,T085067,I00209,S0057,3,ct,13.0
P013,C008893,T08603,I00098,S00384,7,oz,10.0
P023,C001765,T073573,I00106,S00684,6,oz,17.0
P032,C008379,T088988,I00133,S00326,2,ct,15.0
P027,C000118,T066674,I00181,S00272,5,ct,26.0
P022,C000215,T093045,I00108,S00612,10,oz,15.0
P037,C003424,T073261,I00036,S00179,1,cans,16.0
P002,C008368,T089967,I00263,S00543,8,Ct,14.0
