payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P036,C004359,T02342,I00047,S00153,9,cans,8.0
P030,C003580,T048094,I00066,S00697,1,bottles,20.0
P018,C008805,T02420,I00002,S00621,10,cans,6.75
P013,C004593,T088679,I00025,S0004,2,cans,11.5
P033,C001401,T050007,I00004,S0033,5,cans,6.75
P002,C000272,T05218,I00083,S00314,2,bottles,14.0
P012,C006726,T039298,I00246,S00456,9,ct,20.0
P039,C006381,T06906,I00112,S00566,5,ct.,14.0
P025,C002642,T026748,I00258,S0096,9,pk,21.0
P002,C001552,T082947,I00235,S00519,9,ct,$14.0
P007,C008041,T023283,I00185,S00278,5,ct,14.0
P007,C008587,T030432,I00050,S00514,2,cans,8.0
P028,C003992,T088210,I00082,S0066,4,ct,15.0
P033,C000647,T09646,I00105,S00724,11,ct,16.5
P027,C001702,T073431,I00204,S00401,1,ct,17.0
P008,C004919,T035981,I00244,S00501,11,oz,18.0
P038,C000009,T040947,I00152,S00117,7,bags,15.0
P027,C005924,T086198,I00070,S00270,11,bottles,$17.5
P013,C006109,T06847,I00172,S00187,1,oz,19.0
P012,C002339,T02867,I00141,S00688,11,ct,18.0
P002,C001991,T086698,I00047,S00442,4,cans,8.0
P005,C005412,T095790,I00185,S00349,4,ct,14.0
P031,C005822,T040586,I00042,S00199,5,bottles,$28.0
P003,C004941,T081439,I00084,S00344,8,bottles,$18.0
P039,C002250,T010606,I00242,S00444,2,pk,12.0
P014,C006653,T01874,I00090,S00243,6,bottles,$9.0
P023,C002044,T010843,I00063,S00326,6,cans,$40.0
P024,C005426,T030730,I00190,S00418,10,ct,16.0
P024,C002094,T062940,I00261,S00134,8,ct,33.0
P031,C005883,T037300,I00019,S00154,4,cans,6.75
P039,C005862,T017376,I00215,S00563,6,ct.,$14.0
P025,C009156,T076509,I00151,S00403,1,bags,17.0
P033,C004293,T01022,I00200,S00560,2,bars,20.0
P014,C002591,T081646,I00068,S00283,10,bottles,20.0
P024,C006512,T013764,I00110,S00263,6,oz,22.5
P027,C002749,T081916,I00241,S00397,1,ct,12.0
P032,C004170,T012240,I00085,S00195,4,bottles,$18.0
P031,C000801,T06679,I00007,S00588,10,cans,6.75
P017,C002158,T010866,I00126,S00527,8,ct,25.0
P024,C008469,T094965,I00262,S00499,9,ct,14.0
P034,C002751,T081221,I00104,S00183,9,ct,14.0
P030,C001967,T022526,I00116,S00276,8,ct,48.0
P006,C000642,T071976,I00196,S00270,8,ct,16.0
P016,C006336,T096933,I00179,S00231,8,ct,19.0
P020,C009010,T097209,I00239,S00721,2,pk,14.0
P026,C006675,T034869,I00153,S0064,11,bags,$15.0
P011,C005125,T098199,I00187,S00219,5,ct.,13.0
P021,C005929,T096408,I00051,S00678,8,cans,23.0
P035,C002549,T051824,I00101,S00652,5,tubs,15.0
P014,C000643,T071662,I00148,S00380,4,ct,15.0
P008,C000756,T044423,I00105,S00435,8,ct,16.5
P028,C002687,T013162,I00085,S0059,8,bottles,18.0
P032,C000868,T076862,I00168,S0076,1,ct,18.0
P005,C005386,T03946,I00041,S00302,6,bottles,23.0
P026,C003233,T063333,I00176,S00656,4,ct,19.0
P019,C000184,T047683,I00116,S00169,7,ct,48.0
P027,C002515,T05940,I00199,S00415,3,ct,15.0
P003,C003864,T074695,I00162,S00594,7,Bags,16.0
P026,C004970,T035205,I00128,S00514,3,pk,16.0
P019,C002542,T088259,I00142,S0012,9,ct,12.5
P035,C007421,T050777,I00042,S00223,8,bottles,28.0
P029,C007330,T082929,I00144,S00725,7,ct,20.0
P036,C007154,T05090,I00008,S00651,5,cans,$16.25
P021,C006353,T060816,I00218,S00701,11,ct,6.0
P023,C001266,T016120,I00041,S0063,6,bottles,23.0
P015,C007665,T025149,I00245,S00159,4,rolls,26.0
P005,C000980,T062018,I00198,S00665,8,ct,12.0
P017,C005067,T037300,I00045,S00133,2,cans,8.0
P002,C003926,T022875,I00264,S00513,7,Ct,15.0
P007,C004528,T015791,I00052,S00509,3,cans,40.0
P017,C004904,T039173,I00070,S00413,8,bottles,17.5
P010,C008013,T050838,I00137,S00182,6,ct,24.0
P023,C009024,T040389,I00082,S00339,3,ct,15.0
P036,C006865,T068926,I00054,S00271,2,cans,40.0
P004,C000963,T07783,I00185,S00198,5,ct,14.0
P010,C007621,T071457,I00184,S00274,5,ct,12.0
P035,C002491,T04916,I00231,S00233,11,pk,16.0
P030,C002213,T016452,I00216,S0039,10,ct,16.5
P009,C006295,T051824,I00022,S0002,10,cans,16.25
P010,C009080,T041294,I00186,S00579,8,ct,13.0
P022,C007568,T060715,I00250,S00527,4,pack,19.5
P028,C006461,T00886,I00157,S00290,2,bags,17.0
P015,C008069,T011756,I00037,S00455,3,cans,16.0
P029,C002354,T031192,I00066,S00401,3,bottles,20.0
P005,C005598,T055966,I00184,S00583,10,ct,12.0
P021,C004982,T023609,I00074,S00113,7,bottles,20.0
P013,C002107,T025987,I00129,S00466,5,pk,18.0
P018,C000997,T028764,I00037,S00275,1,cans,16.0
P005,C005544,T043433,I00098,S00415,7,oz,10.0
P025,C002125,T074029,I00262,S00476,2,ct,14.0
P007,C008538,T051491,I00073,S00284,5,bottles,20.0
P008,C001926,T065414,I00005,S00291,9,cans,6.75
P017,C003304,T093679,I00039,S00161,9,bottles,26.0
P038,C001776,T023394,I00217,S00593,10,oz,20.5
P039,C002951,T044720,I00007,S00683,5,cans,6.75
P033,C008138,T019522,I00130,S00193,2,ct,14.0
P015,C008025,T071499,I00092,S00581,6,bottles,10.0
P035,C004194,T046079,I00046,S00314,6,cans,8.0
P004,C002917,T089461,I00090,S00469,2,bottles,9.0
P028,C003469,T054521,I00025,S00569,3,cans,11.5
P028,C005899,T097445,I00003,S00113,7,cans,6.75
P025,C007374,T046990,I00138,S00667,10,ct,32.0
P023,C003508,T038655,I00158,S00480,3,,$17.0
P015,C008970,T037163,I00055,S0037,4,cans,40.0
P001,C007008,T089023,I00027,S00616,11,cans,16.25
P036,C002854,T04691,I00158,S0073,4,,17.0
P013,C000603,T018556,I00113,S00693,1,ct,42.0
P001,C002142,T052669,I00112,S0014,7,ct.,14.0
P033,C001470,T082724,I00235,S00494,8,ct,14.0
P014,C005368,T035699,I00109,S00395,7,oz,17.0
P012,C003698,T051082,I00095,S00587,10,botlltes,16.0
P001,C000258,T016518,I00126,S0017,7,ct,25.0
P028,C000942,T011640,I00028,S00714,2,cans,6.75
P005,C005791,T023283,I00046,S00717,7,cans,8.0
P007,C008505,T06330,I00179,S00626,11,ct,19.0
P011,C007685,T018841,I00221,S00626,3,ct,14.0
P015,C002969,T041760,I00101,S00117,3,tubs,15.0
P018,C004655,T062528,I00252,S00608,11,ct,11.0
P033,C004324,T026635,I00015,S00225,1,cans,6.75
P035,C006108,T010892,I00240,S00219,10,ct,14.0
P016,C005579,T087356,I00088,S00248,8,bottles,17.0
P036,C000921,T025149,I00025,S00206,2,cans,11.5
P015,C006126,T02916,I00008,S0097,8,cans,16.25
P032,C000179,T01022,I00068,S00670,8,bottles,20.0
P015,C007154,T020232,I00134,S00588,5,ct,16.0
P030,C000136,T097020,I00201,S00664,11,bars,23.0
P024,C004084,T043963,I00111,S00380,4,ct,16.0
P022,C003947,T034869,I00211,S00367,6,ct.,$15.0
P036,C002489,T069868,I00162,S00307,5,Bags,16.0
P034,C001767,T01643,I00148,S00235,11,ct,15.0
P024,C008038,T018033,I00072,S00479,11,bottles,20.0
P027,C000608,T088153,I00230,S00605,3,pk,15.0
P033,C008375,T088057,I00001,S00268,1,cans,11.5
P027,C002243,T062250,I00225,S00237,10,ct,17.0
P037,C004961,T024673,I00169,S00658,2,ct,17.0
