payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P006,C003668,T089724,I00084,S00298,7,bottles,18.0
P019,C007601,T013654,I00006,S00104,10,cans,16.25
P013,C005116,T085849,I00025,S00331,6,cans,11.5
P037,C001636,T078168,I00048,S00712,5,cans,8.0
P013,C002154,T046885,I00154,S00373,2,Bags,15.0
P010,C004279,T087281,I00020,S00605,5,cans,6.75
P021,C001787,T035404,I00247,S0036,9,oz,15.0
P022,C004929,T03106,I00039,S00350,9,bottles,26.0
P016,C001437,T025497,I00108,S00158,5,oz,15.0
P033,C005922,T030596,I00190,S00664,7,ct,16.0
P015,C001697,T065158,I00075,S00287,3,cans,15.5
P020,C009094,T038921,I00257,S00499,3,ct,$21.0
P024,C000731,T078551,I00059,S00683,9,bottles,22.0
P021,C008563,T072704,I00227,S0077,11,pk,15.0
P010,C004269,T091154,I00251,S00308,9,oz,$13.0
P013,C009059,T094449,I00124,S00129,3,ct,15.0
P022,C002422,T020936,I00038,S00205,10,bottles,23.0
P003,C007560,T086940,I00226,S00485,6,lb,$15.0
P025,C002087,T083310,I00042,S00358,11,bottles,28.0
P024,C003851,T099757,I00034,S00475,4,cans,16.0
P002,C002715,T058065,I00129,S00722,3,pk,18.0
P004,C002132,T091236,I00230,S00350,1,pk,15.0
P034,C004755,T033679,I00138,S00722,7,ct,32.0
P008,C008972,T077164,I00218,S00214,6,ct,6.0
P009,C008045,T03835,I00056,S00289,7,bottles,24.0
P004,C007130,T019459,I00074,S00226,8,bottles,20.0
P031,C001699,T038962,I00240,S00208,10,ct,14.0
P033,C006088,T077465,I00046,S00723,6,cans,8.0
P021,C005085,T057406,I00043,S00361,10,bottles,24.0
P039,C001580,T068288,I00116,S00140,6,ct,48.0
P012,C004072,T066643,I00173,S00572,2,ct,19.0
P003,C002943,T020228,I00054,S00532,5,cans,40.0
P007,C002617,T038962,I00048,S00327,9,cans,8.0
P005,C004775,T048625,I00240,S00338,10,ct,14.0
P006,C007497,T048624,I00138,S00215,7,ct,32.0
P019,C003813,T086987,I00009,S00421,3,cans,16.25
P001,C006700,T037250,I00213,S00465,5,ct,12.0
P036,C001432,T099068,I00081,S0027,5,bottles,29.0
P017,C001527,T04431,I00181,S0068,8,ct,$26.0
P018,C005010,T08561,I00174,S00619,11,oz,18.0
P015,C000675,T077666,I00006,S00431,11,cans,16.25
P029,C005571,T075343,I00048,S00473,3,cans,8.0
P034,C005617,T041453,I00057,S00165,6,bottles,24.0
P009,C002286,T072142,I00177,S00648,11,ct,35.0
P031,C004868,T024839,I00239,S00111,4,pk,14.0
P037,C007213,T063409,I00014,S0043,9,cans,6.75
P002,C008660,T022298,I00162,S0098,2,Bags,16.0
P006,C000636,T033883,I00162,S0034,3,Bags,16.0
P020,C004603,T034175,I00204,S00611,10,ct,17.0
P014,C002497,T082114,I00246,S00204,7,ct,20.0
P017,C002535,T060415,I00051,S00611,3,cans,23.0
P004,C008304,T082538,I00180,S00631,6,ct,19.0
P032,C000192,T020122,I00040,S00693,6,bottles,22.0
P023,C008645,T045566,I00252,S00174,6,ct,$11.0
P024,C005131,T031334,I00145,S00413,5,ct,17.0
P015,C005718,T077744,I00097,S00685,10,cartons,19.0
P035,C007739,T082908,I00059,S0071,10,bottles,22.0
P006,C004317,T036654,I00038,S00167,11,bottles,23.0
P035,C008936,T064755,I00001,S00122,7,cans,11.5
P025,C007886,T066257,I00236,S00108,11,tins,12.0
P030,C006653,T02525,I00034,S00179,2,cans,16.0
P030,C006095,T09040,I00049,S00563,1,cans,8.0
P027,C007503,T099068,I00059,S00336,6,bottles,22.0
P005,C002444,T07115,I00207,S00570,10,ct,$14.0
P026,C007588,T05511,I00247,S00495,7,oz,15.0
P022,C007531,T026464,I00088,S00701,11,bottles,17.0
P002,C000687,T079184,I00023,S00129,10,cans,6.75
P009,C002698,T02205,I00252,S00609,1,ct,11.0
P011,C004638,T051695,I00161,S0070,7,Bags,17.0
P008,C001729,T068263,I00238,S00533,2,ct,$12.0
P037,C000901,T036270,I00212,S00409,7,ct,12.0
P006,C007939,T062655,I00192,S00138,11,ct,24.0
P024,C001188,T011958,I00162,S00618,2,Bags,16.0
P004,C000022,T089724,I00102,S00316,8,tubs,16.0
P016,C008978,T03703,I00129,S00203,8,pk,18.0
P014,C001465,T061705,I00163,S00589,4,bags,15.0
P031,C007831,T045806,I00016,S00304,7,cans,16.25
P029,C009068,T023922,I00069,S00415,11,bottles,17.5
P024,C008559,T08344,I00142,S00213,2,ct,12.5
P008,C007993,T082153,I00210,S0089,2,ct,15.0
P029,C008527,T060034,I00238,S00681,1,ct,12.0
P030,C005777,T024172,I00040,S0017,9,bottles,22.0
P006,C005663,T050670,I00156,S00168,1,bags,17.0
P003,C004397,T078392,I00249,S0013,10,pack,16.0
P013,C001774,T099048,I00258,S00490,7,pk,21.0
P007,C006159,T028080,I00193,S0074,7,ct,18.0
P023,C007295,T045218,I00153,S00678,4,bags,15.0
P035,C005575,T098774,I00227,S0033,10,pk,15.0
P030,C002853,T017513,I00233,S0052,10,ct,12.0
P014,C001078,T063209,I00073,S00725,10,bottles,$20.0
P006,C005840,T044992,I00037,S00469,6,cans,16.0
P038,C008227,T061208,I00048,S00579,6,cans,8.0
P009,C002454,T034055,I00089,S00662,4,bottles,9.0
P015,C007456,T022119,I00159,S00677,5,bags,17.0
P009,C006387,T074567,I00097,S00118,2,cartons,19.0
P007,C002044,T031015,I00127,S00295,7,pk,12.5
P009,C002008,T02841,I00111,S00128,10,ct,16.0
P018,C004840,T015265,I00067,S00605,10,bottles,8.0
P021,C009078,T099730,I00093,S00223,10,bottles,13.0
P002,C008572,T043350,I00068,S00150,1,bottles,$20.0
P024,C009034,T065014,I00128,S00334,9,pk,16.0
P034,C008201,T09655,I00146,S00583,11,ct,21.0
P006,C001055,T099757,I00049,S00640,4,cans,8.0
P017,C001593,T034792,I00138,S00481,1,ct,32.0
P003,C008779,T037311,I00201,S00442,3,bars,23.0
P022,C005754,T050670,I00015,S00376,5,cans,6.75
P004,C007330,T058308,I00203,S00550,9,ct,18.0
P029,C006910,T056201,I00060,S00143,8,bottles,22.0
P037,C008005,T051695,I00262,S00346,1,ct,14.0
P020,C006908,T072600,I00185,S00302,2,ct,14.0
P019,C004671,T023807,I00014,S00225,8,cans,6.75
