payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P039,C002558,T092574,I00250,S00437,9,pack,19.5
P028,C005213,T040790,I00020,S00258,9,cans,6.75
P004,C003643,T039723,I00161,S00345,9,Bags,17.0
P026,C006671,T037863,I00188,S0096,2,ct,14.0
P028,C000633,T091492,I00250,S0020,10,pack,19.5
P035,C002806,T016079,I00106,S00321,8,oz,17.0
P002,C000899,T087419,I00196,S00517,6,ct,16.0
P011,C005603,T05256,I00087,S0046,9,bottles,$15.0
P014,C005426,T014978,I00228,S00204,4,pk,14.0
P017,C007014,T067380,I00160,S00692,4,bags,$17.0
P009,C001749,T053695,I00135,S00164,4,ct.,14.0
P024,C000103,T024911,I00071,S0092,4,bottles,17.5
P033,C001892,T088163,I00118,S00560,1,ct,42.0
P010,C000032,T069522,I00224,S00248,11,oz,11.0
P039,C005819,T096839,I00068,S00332,11,bottles,20.0
P036,C009016,T019450,I00249,S00514,8,pack,$16.0
P017,C004063,T071338,I00086,S00674,7,cans,18.0
P025,C008391,T099497,I00108,S00494,1,oz,$15.0
P036,C001473,T072372,I00198,S00468,4,ct,12.0
P027,C003638,T032030,I00110,S00559,4,oz,22.5
P016,C003968,T085451,I00230,S0054,7,pk,15.0
P017,C001503,T036224,I00136,S00396,2,ct,19.5
P025,C008040,T040617,I00204,S00443,2,ct,17.0
P018,C004624,T095304,I00107,S0070,4,oz,20.0
P033,C002084,T083056,I00212,S00396,8,ct,12.0
P018,C004784,T026076,I00185,S00632,3,ct,14.0
P004,C005923,T034011,I00114,S00174,2,ct,44.0
P007,C005239,T069427,I00086,S00524,3,cans,18.0
P014,C008272,T078428,I00180,S00138,8,ct,19.0
P021,C000046,T058329,I00003,S00721,11,cans,6.75
P029,C000354,T012680,I00252,S00459,1,ct,11.0
P011,C001068,T048969,I00136,S00238,9,ct,19.5
P026,C006083,T06347,I00206,S00667,6,ct,15.0
P039,C007403,T033454,I00173,S00248,9,ct,$19.0
P039,C002305,T073752,I00247,S00286,10,oz,15.0
P034,C006203,T03141,I00105,S00473,10,ct,16.5
P011,C004707,T040984,I00039,S00359,5,bottles,26.0
P009,C007414,T088163,I00245,S00661,5,rolls,26.0
P023,C004233,T066491,I00190,S00420,7,ct,16.0
P013,C006812,T065181,I00215,S00623,8,ct.,14.0
P017,C002841,T029684,I00220,S00286,9,ct,14.0
P037,C003130,T037924,I00085,S00414,2,bottles,$18.0
P036,C007339,T01726,I00253,S00107,7,bags,21.0
P035,C000735,T09236,I00075,S00687,8,cans,$15.5
P005,C008202,T067689,I00219,S00587,1,ct,22.0
P004,C004934,T047551,I00135,S0076,4,ct.,14.0
P014,C000212,T01848,I00061,S00429,11,cans,55.0
P004,C008784,T066491,I00007,S00628,2,cans,6.75
P031,C007379,T067859,I00207,S00492,10,ct,14.0
P032,C005572,T047286,I00099,S00587,6,oz,6.0
P026,C003317,T048142,I00240,S00575,2,ct,14.0
P038,C002262,T073121,I00017,S00572,1,cans,6.75
P022,C008405,T058292,I00188,S00693,7,ct,$14.0
P002,C001801,T026009,I00210,S00207,10,ct,15.0
P039,C001109,T040345,I00106,S00557,4,oz,17.0
P011,C003008,T090469,I00021,S00190,6,cans,6.75
P027,C006214,T015301,I00215,S00385,3,ct.,14.0
P013,C001248,T04669,I00205,S00179,11,ct,16.0
P004,C004757,T065443,I00002,S00484,8,cans,6.75
P004,C006323,T032129,I00107,S00686,9,oz,20.0
P018,C009141,T053695,I00257,S00203,7,ct,21.0
P038,C001046,T091727,I00061,S00189,10,cans,55.0
P002,C000831,T069706,I00253,S00279,7,bags,21.0
P026,C007909,T041249,I00061,S00119,3,cans,$55.0
P021,C007744,T077657,I00021,S00517,5,cans,6.75
P004,C007351,T070790,I00061,S0048,4,cans,$55.0
P039,C001008,T038134,I00015,S00256,2,cans,6.75
P039,C003039,T07568,I00176,S00114,9,ct,19.0
P015,C000949,T019550,I00061,S00204,5,cans,55.0
P026,C002630,T038002,I00263,S00555,5,Ct,14.0
P009,C006028,T025195,I00065,S00252,5,bottles,20.0
P001,C006420,T085451,I00240,S00382,2,ct,14.0
P020,C006823,T036870,I00091,S00211,8,bottles,7.5
P020,C000699,T090771,I00121,S00337,5,ct,17.0
P037,C006316,T063481,I00129,S00263,3,pk,18.0
P012,C001859,T09660,I00216,S00358,8,ct,16.5
P029,C002675,T013455,I00238,S00483,8,ct,$12.0
P025,C006136,T047682,I00222,S0066,4,ct,12.0
P027,C007308,T072741,I00113,S00377,6,ct,42.0
P032,C009091,T090695,I00041,S00141,5,bottles,23.0
P005,C008428,T086115,I00128,S0036,1,pk,16.0
P021,C008731,T013088,I00129,S00718,4,pk,18.0
P033,C008133,T081553,I00183,S00468,3,ct,35.0
P007,C002849,T071054,I00103,S0035,6,tubs,15.0
P033,C000907,T078725,I00115,S00166,3,ct,53.0
P024,C008773,T050264,I00185,S00352,3,ct,14.0
P013,C001995,T027173,I00194,S00223,7,bars,23.0
P005,C001716,T097822,I00160,S00627,9,bags,17.0
P029,C004506,T00356,I00046,S00628,10,cans,8.0
P016,C006758,T06971,I00169,S00593,7,ct,$17.0
P017,C007346,T09670,I00192,S00339,1,ct,24.0
P002,C005001,T066058,I00212,S00561,9,ct,12.0
P012,C007229,T099257,I00135,S00515,4,ct.,14.0
P002,C001981,T055107,I00219,S0012,1,ct,22.0
P030,C002194,T080006,I00160,S00548,6,bags,17.0
P019,C000012,T091199,I00139,S00191,11,ct,24.0
P037,C007410,T037491,I00207,S00633,9,ct,14.0
P017,C006229,T045854,I00208,S0044,11,ct,14.0
P022,C007284,T00590,I00147,S00419,7,ct,15.0
P021,C000270,T056973,I00118,S0081,6,ct,42.0
P035,C006959,T052991,I00170,S00460,6,ct.,15.0
P024,C003877,T027972,I00154,S00545,8,Bags,15.0
P006,C006501,T044385,I00106,S00687,7,oz,17.0
P020,C000295,T093330,I00165,S00270,7,bags,$16.0
P025,C007067,T061997,I00232,S00675,6,ct,12.0
P021,C007788,T013846,I00227,S00662,1,pk,15.0
P002,C001124,T01376,I00166,S00483,8,bags,17.0
P019,C006133,T026009,I00232,S00427,6,ct,12.0
P014,C003495,T050354,I00255,S00631,8,pack,20.0
P007,C003106,T052105,I00143,S00366,3,ct,16.0
P001,C004110,T020846,I00093,S0083,5,bottles,13.0
P020,C002317,T071054,I00208,S00626,4,ct,14.0
P008,C001509,T05038,I00119,S00234,9,ct,53.0
P017,C005620,T014678,I00202,S00457,8,ct.,12.0
P001,C003438,T025330,I00202,S00236,9,ct.,$12.0
P010,C004021,T080809,I00111,S00621,1,ct,16.0
P027,C002319,T070252,I00085,S00354,5,bottles,18.0
P026,C004694,T084048,I00112,S0073,8,ct.,$14.0
P005,C002531,T013496,I00172,S00647,5,oz,19.0
P029,C004467,T021688,I00188,S00569,9,ct,14.0
P003,C006410,T091085,I00232,S00541,9,ct,12.0
P035,C000559,T054519,I00151,S00340,8,bags,17.0
P026,C005762,T032129,I00012,S00206,10,cans,16.25
P018,C007179,T011684,I00115,S0061,11,ct,53.0
P039,C007931,T06570,I00065,S00557,1,bottles,20.0
P025,C001432,T033946,I00109,S00272,10,oz,17.0
P006,C001992,T02433,I00224,S00544,3,oz,11.0
P008,C003263,T073359,I00134,S00538,1,ct,16.0
P029,C002521,T021410,I00113,S00341,11,ct,42.0
P021,C005052,T010457,I00001,S00431,8,cans,11.5
P012,C006563,T069795,I00253,S00723,4,bags,21.0
P038,C004346,T067900,I00033,S00443,2,cans,16.0
P005,C000320,T018116,I00092,S0050,10,bottles,$10.0
P020,C007810,T069511,I00103,S00648,2,tubs,15.0
P017,C009024,T022237,I00173,S00628,6,ct,19.0
P014,C006243,T071530,I00218,S00289,10,ct,6.0
P010,C001497,T042795,I00023,S00408,2,cans,6.75
P018,C007998,T088493,I00127,S00523,10,pk,12.5
P011,C003434,T023421,I00144,S00317,5,ct,20.0
P019,C007953,T084150,I00002,S00172,5,cans,6.75
P023,C008353,T084661,I00182,S00340,8,oz,15.0
P010,C008330,T061229,I00225,S00662,4,ct,17.0
P027,C000567,T027142,I00092,S00476,6,bottles,10.0
P031,C004372,T074894,I00090,S0077,9,bottles,9.0
P006,C002857,T023472,I00157,S00478,11,bags,17.0
P003,C004205,T062624,I00018,S00128,6,cans,6.75
P008,C003238,T015106,I00149,S00196,10,ct,15.0
P026,C007007,T013955,I00071,S00306,9,bottles,17.5
P023,C008157,T021410,I00052,S00240,5,cans,40.0
P017,C007071,T050410,I00030,S00715,9,cans,16.0
P034,C006985,T094431,I00024,S00267,2,cans,$16.25
P005,C000508,T06618,I00034,S00705,5,cans,$16.0
P022,C003508,T078565,I00218,S00676,10,ct,$6.0
P038,C007749,T00017,I00054,S00510,11,cans,40.0
P009,C005022,T076235,I00128,S00318,6,pk,16.0
P001,C000842,T021410,I00077,S00720,9,cans,6.75
P031,C004361,T085700,I00049,S00203,4,cans,$8.0
P024,C001831,T069706,I00200,S00680,10,bars,20.0
P001,C008741,T044693,I00055,S0066,9,cans,40.0
P034,C003270,T050440,I00194,S00142,5,bars,23.0
P018,C005593,T076826,I00089,S00428,2,bottles,9.0
P017,C000887,T05763,I00170,S00127,1,ct.,15.0
P003,C003332,T042375,I00033,S00706,4,cans,16.0
P006,C001647,T071380,I00239,S00607,4,pk,14.0
P008,C000353,T074537,I00170,S00690,3,ct.,$15.0
P008,C008349,T09557,I00200,S00209,3,bars,20.0
P037,C003564,T09557,I00111,S00509,8,ct,16.0
P031,C005020,T05490,I00091,S00415,4,bottles,$7.5
P033,C005658,T089606,I00050,S00361,2,cans,8.0
P018,C006770,T056230,I00075,S00557,8,cans,15.5
P002,C007508,T068667,I00230,S00158,9,pk,15.0
P018,C002902,T079149,I00240,S00523,5,ct,14.0
P005,C008516,T011684,I00099,S0044,7,oz,6.0
P034,C001165,T097339,I00206,S00245,9,ct,15.0
P007,C008531,T022775,I00179,S00680,5,ct,19.0
P012,C003678,T07407,I00249,S00694,5,pack,16.0
P036,C008071,T017970,I00182,S00671,11,oz,15.0
P019,C008376,T025613,I00261,S00115,10,ct,33.0
P023,C007892,T04946,I00172,S00194,5,oz,19.0
P005,C002498,T085172,I00015,S00263,3,cans,6.75
P029,C002921,T030232,I00237,S00204,1,ct,$16.0
P017,C002982,T018492,I00235,S00716,10,ct,14.0
P012,C007047,T063002,I00142,S00517,4,ct,$12.5
P037,C007146,T098669,I00024,S0005,5,cans,$16.25
P001,C002646,T048776,I00262,S00177,6,ct,14.0
P030,C004532,T076612,I00255,S00715,1,pack,20.0
P007,C000097,T04807,I00136,S00649,3,ct,19.5
P021,C004572,T023265,I00203,S00324,10,ct,18.0
P017,C008692,T067277,I00184,S00607,1,ct,12.0
P036,C003332,T025544,I00242,S00495,4,pk,12.0
P021,C000409,T052754,I00055,S00550,8,cans,40.0
P001,C001200,T024270,I00140,S00453,6,ct,29.0
P023,C000304,T038791,I00194,S00246,9,bars,23.0
P007,C002730,T097899,I00124,S0059,10,ct,15.0
P008,C005023,T01402,I00150,S00626,2,bags,16.0
P022,C000736,T041019,I00131,S0054,6,ct,14.0
P031,C002339,T090771,I00263,S00111,9,Ct,$14.0
P036,C009120,T032815,I00007,S00309,1,cans,$6.75
P009,C000085,T024511,I00243,S00549,6,oz,16.0
P008,C008775,T066641,I00054,S00103,6,cans,40.0
P035,C001481,T044615,I00212,S00373,10,ct,12.0
P001,C006590,T025191,I00174,S00106,3,oz,18.0
P025,C002670,T085700,I00023,S00382,2,cans,6.75
P015,C007200,T06971,I00118,S00628,5,ct,42.0
P002,C002311,T05287,I00013,S00204,2,cans,6.75
P032,C008205,T056656,I00228,S00659,6,pk,14.0
P003,C005341,T088578,I00105,S00247,8,ct,16.5
P033,C007847,T010191,I00039,S00175,3,bottles,26.0
P028,C002887,T031921,I00263,S00428,9,Ct,14.0
P026,C006079,T085451,I00195,S00400,9,ct,12.5
P031,C008264,T05072,I00001,S00593,4,cans,11.5
P010,C002798,T022134,I00015,S00472,10,cans,6.75
P039,C001001,T026860,I00019,S00636,5,cans,6.75
P038,C004564,T098669,I00051,S0007,3,cans,$23.0
P009,C003781,T022216,I00074,S00446,1,bottles,20.0
P005,C006867,T090771,I00183,S00149,1,ct,35.0
P014,C007964,T018926,I00189,S0010,9,ct.,13.0
P030,C001229,T047190,I00034,S00118,8,cans,16.0
P034,C001290,T040869,I00163,S00263,5,bags,15.0
P033,C007150,T038259,I00076,S00514,10,cans,6.75
P020,C003021,T095078,I00040,S0087,2,bottles,22.0
P010,C008103,T031658,I00201,S00142,7,bars,23.0
P019,C006873,T093521,I00240,S00178,8,ct,14.0
P015,C006178,T040651,I00249,S00603,2,pack,16.0
P019,C000742,T054522,I00064,S00300,7,cans,40.0
P011,C000963,T035422,I00095,S00496,6,botlltes,16.0
P007,C001049,T024320,I00071,S00435,7,bottles,17.5
P009,C007365,T080455,I00129,S00604,9,pk,18.0
P036,C005691,T074894,I00183,S00616,9,ct,35.0
P007,C003030,T043838,I00050,S00510,11,cans,8.0
P007,C000876,T086271,I00093,S00676,10,bottles,13.0
P017,C004713,T050410,I00067,S00444,9,bottles,$8.0
P034,C003613,T051520,I00138,S00364,11,ct,32.0
P010,C008584,T01483,I00258,S00563,2,pk,$21.0
P007,C000562,T056973,I00013,S00337,10,cans,6.75
P020,C004442,T093574,I00118,S00674,3,ct,42.0
P038,C007888,T010623,I00040,S00403,4,bottles,22.0
P017,C006588,T07407,I00220,S0015,4,ct,14.0
P009,C000713,T048367,I00074,S00539,5,bottles,$20.0
P006,C008880,T053155,I00155,S00478,3,bags,17.0
P028,C000227,T043140,I00083,S0010,11,bottles,14.0
P025,C004062,T025351,I00120,S00585,2,ct,9.0
P026,C002118,T028483,I00104,S00130,9,ct,14.0
P032,C008248,T04225,I00089,S00214,1,bottles,9.0
P004,C002958,T011955,I00166,S00640,1,bags,17.0
P028,C004491,T096818,I00238,S00114,10,ct,12.0
P016,C009082,T086270,I00061,S00168,1,cans,$55.0
P024,C002363,T076612,I00142,S00310,5,ct,12.5
P037,C002557,T093517,I00238,S00573,2,ct,12.0
P035,C007033,T00590,I00035,S0091,8,cans,16.0
P016,C006581,T083966,I00153,S00643,6,bags,15.0
P023,C001429,T094695,I00079,S00393,3,bottles,17.0
P021,C008601,T048142,I00214,S0016,1,oz,19.5
