payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P004,C005964,T075896,I00107,S00175,2,oz,20.0
P031,C005862,T072963,I00078,S00324,8,bottles,17.0
P029,C004333,T015705,I00061,S00277,10,cans,55.0
P018,C000853,T024360,I00082,S00613,10,ct,15.0
P016,C006330,T074444,I00001,S00514,4,cans,11.5
P009,C007367,T044334,I00231,S0006,5,pk,16.0
P034,C000757,T036444,I00233,S00224,5,ct,12.0
P038,C008341,T032877,I00082,S00182,5,ct,15.0
P003,C006510,T024314,I00152,S00603,6,bags,$15.0
P003,C005122,T051800,I00094,S0053,9,bottles,11.0
P027,C005457,T033939,I00198,S0003,1,ct,12.0
P037,C001367,T064545,I00086,S00179,9,cans,$18.0
P034,C009166,T074074,I00124,S00576,1,ct,15.0
P035,C001635,T045096,I00068,S00109,4,bottles,20.0
P014,C004578,T040281,I00007,S00481,9,cans,$6.75
P004,C003685,T010402,I00062,S00160,7,cans,37.0
P029,C000743,T092244,I00084,S00328,6,bottles,18.0
P002,C003306,T054721,I00258,S00543,9,pk,21.0
P020,C003626,T095810,I00039,S0012,4,bottles,26.0
P034,C008795,T08764,I00235,S00143,8,ct,14.0
P017,C009051,T014136,I00074,S00586,2,bottles,20.0
P035,C003690,T054792,I00043,S00216,2,bottles,24.0
P010,C004230,T094468,I00099,S00397,5,oz,6.0
P032,C000679,T020954,I00146,S00654,1,ct,21.0
P020,C000481,T039518,I00218,S0063,6,ct,6.0
P037,C007456,T087640,I00162,S00387,2,Bags,$16.0
P016,C003158,T061347,I00154,S00646,9,Bags,15.0
P023,C000376,T049802,I00217,S0093,7,oz,20.5
P033,C007818,T071216,I00166,S00457,4,bags,17.0
P034,C000743,T098722,I00072,S0032,5,bottles,20.0
P012,C004154,T084262,I00091,S0096,2,bottles,7.5
P022,C003323,T031776,I00236,S0097,10,tins,12.0
P021,C000273,T098323,I00085,S00267,9,bottles,18.0
P015,C003895,T073841,I00060,S00379,6,bottles,22.0
P033,C008098,T035652,I00175,S00356,11,oz,19.0
P012,C000505,T023862,I00234,S00627,3,ct,13.0
P028,C004075,T026923,I00174,S0091,6,oz,18.0
P031,C002771,T035805,I00140,S00576,2,ct,29.0
P010,C008942,T042696,I00020,S00542,11,cans,6.75
P036,C006571,T043005,I00145,S00572,6,ct,17.0
P013,C003466,T084250,I00075,S00354,8,cans,15.5
P006,C006381,T092270,I00091,S00252,4,bottles,7.5
P012,C004934,T011401,I00091,S00275,3,bottles,$7.5
P031,C001815,T08347,I00062,S00583,3,cans,37.0
P030,C007137,T090104,I00086,S00418,11,cans,$18.0
P021,C006953,T042830,I00021,S00677,3,cans,6.75
P037,C001244,T07219,I00129,S00596,2,pk,18.0
P006,C004222,T030019,I00167,S00662,10,ct,14.0
P025,C003044,T051099,I00116,S00607,11,ct,48.0
P001,C000015,T088739,I00134,S00472,5,ct,16.0
P038,C004334,T00599,I00215,S0087,11,ct.,14.0
P031,C005772,T076297,I00066,S00211,4,bottles,20.0
P030,C006063,T084750,I00261,S00659,5,ct,33.0
P026,C000917,T047798,I00165,S00709,3,bags,16.0
P011,C003170,T070514,I00135,S0033,9,ct.,14.0
P026,C007518,T05684,I00170,S00173,7,ct.,15.0
P027,C003278,T086114,I00242,S00388,9,pk,12.0
P017,C000483,T077329,I00070,S0089,5,bottles,17.5
P006,C007920,T073475,I00053,S00647,11,cans,40.0
P023,C001155,T037517,I00035,S0063,4,cans,16.0
P023,C000343,T055728,I00006,S00531,6,cans,16.25
P034,C002553,T070177,I00094,S00230,10,bottles,11.0
P001,C003143,T01243,I00146,S00661,1,ct,21.0
P039,C007878,T044408,I00112,S00725,1,ct.,14.0
P012,C002900,T071304,I00203,S00572,5,ct,18.0
P025,C006837,T040543,I00189,S00300,1,ct.,13.0
P003,C007524,T013861,I00039,S0086,5,bottles,26.0
P038,C001908,T044622,I00208,S00379,2,ct,14.0
P030,C008460,T026304,I00197,S0098,2,bars,15.0
P029,C007812,T074613,I00095,S0053,6,botlltes,16.0
P028,C004323,T072599,I00148,S00548,2,ct,15.0
P014,C000223,T095604,I00219,S0088,6,ct,22.0
P022,C005433,T019792,I00189,S0091,5,ct.,13.0
P024,C004646,T016936,I00085,S00197,8,bottles,18.0
P032,C008644,T044408,I00158,S00537,10,,17.0
P009,C000657,T055407,I00025,S00385,9,cans,11.5
P033,C009027,T094904,I00075,S00262,3,cans,15.5
P002,C008506,T028415,I00075,S00125,2,cans,15.5
P006,C002816,T034519,I00254,S00329,10,oz,$13.0
P001,C007293,T097326,I00172,S00358,5,oz,19.0
P013,C001725,T077180,I00143,S00308,10,ct,16.0
P018,C008730,T071026,I00027,S00334,7,cans,16.25
P003,C008539,T070115,I00112,S00618,2,ct.,14.0
P010,C000454,T081079,I00049,S00718,7,cans,8.0
P006,C000052,T096253,I00248,S00528,10,rolls,26.0
P008,C008046,T077994,I00172,S00672,2,oz,19.0
P024,C003712,T085281,I00105,S00399,3,ct,$16.5
P038,C004030,T086729,I00206,S00211,2,ct,15.0
P034,C002538,T072805,I00051,S00108,4,cans,23.0
P030,C001207,T052161,I00146,S00504,11,ct,21.0
P015,C004533,T069822,I00210,S00483,11,ct,15.0
P025,C004801,T073425,I00160,S00328,5,bags,17.0
P009,C000155,T088940,I00241,S00573,10,ct,12.0
P033,C003205,T094383,I00097,S0088,6,cartons,19.0
P029,C000658,T024157,I00037,S0050,6,cans,16.0
P002,C009099,T013649,I00015,S00470,8,cans,6.75
P023,C005491,T019534,I00207,S00197,2,ct,14.0
P009,C003417,T081142,I00128,S00452,3,pk,16.0
P030,C002359,T070955,I00256,S00177,5,pack,20.0
P001,C003601,T09039,I00100,S00301,5,oz.,10.0
P003,C008819,T07613,I00026,S00270,4,cans,6.75
P003,C002731,T078807,I00231,S00666,9,pk,16.0
P006,C007269,T03228,I00051,S00539,4,cans,23.0
P030,C004484,T01337,I00198,S0003,1,ct,12.0
P037,C001271,T045908,I00145,S00145,8,ct,$17.0
P018,C007282,T029691,I00042,S00578,9,bottles,28.0
P018,C001812,T098262,I00120,S0087,9,ct,9.0
P032,C008116,T010459,I00221,S0013,6,ct,14.0
P022,C008191,T017218,I00192,S00349,8,ct,$24.0
P030,C000986,T063011,I00035,S00186,10,cans,16.0
P002,C004083,T035849,I00191,S00125,1,bars,24.0
P024,C005599,T070740,I00220,S00575,5,ct,14.0
P006,C002375,T015000,I00216,S00378,1,ct,16.5
P004,C003650,T074111,I00204,S00343,1,ct,17.0
P025,C001617,T055772,I00206,S00561,1,ct,15.0
P024,C001428,T09156,I00067,S0079,8,bottles,8.0
P024,C007941,T063416,I00166,S00445,5,bags,$17.0
P023,C007853,T038645,I00157,S00286,8,bags,17.0
P016,C002118,T048558,I00194,S00221,2,bars,$23.0
P004,C008828,T073373,I00082,S00291,10,ct,15.0
P003,C006664,T012821,I00072,S00276,11,bottles,20.0
P020,C000041,T094468,I00158,S0038,1,,17.0
