payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P032,C004950,T078228,I00161,S00607,4,Bags,17.0
P024,C002256,T07462,I00052,S00121,2,cans,40.0
P027,C001236,T03543,I00180,S00215,3,ct,$19.0
P038,C009190,T067947,I00055,S00718,6,cans,40.0
P027,C002308,T014388,I00188,S00255,7,ct,14.0
P034,C001977,T04024,I00090,S00601,4,bottles,9.0
P002,C002100,T079874,I00006,S00392,11,cans,$16.25
P038,C002850,T09633,I00202,S00563,5,ct.,12.0
P005,C003048,T016436,I00163,S00427,5,bags,15.0
P017,C008078,T040530,I00111,S00366,6,ct,16.0
P035,C007764,T059965,I00100,S00594,3,oz.,$10.0
P017,C007204,T08396,I00052,S00380,10,cans,$40.0
P038,C004105,T051019,I00137,S00317,8,ct,$24.0
P029,C005079,T066762,I00143,S00107,11,ct,16.0
P039,C002011,T019490,I00065,S00137,10,bottles,20.0
P007,C007735,T025734,I00225,S00583,11,ct,17.0
P034,C002138,T022995,I00066,S00506,9,bottles,20.0
P023,C007075,T037101,I00200,S00465,10,bars,20.0
P015,C002690,T033951,I00065,S00280,9,bottles,20.0
P026,C008494,T07735,I00023,S00382,1,cans,6.75
P015,C008937,T07742,I00125,S00554,11,ct,15.0
P026,C000287,T058195,I00238,S00475,4,ct,12.0
P028,C003011,T029536,I00112,S00514,2,ct.,14.0
P022,C002216,T096327,I00126,S00163,6,ct,25.0
P037,C007402,T080563,I00123,S00553,8,ct,45.0
P038,C002983,T056710,I00094,S00435,6,bottles,11.0
P026,C001997,T012747,I00001,S00519,4,cans,11.5
P008,C003245,T070486,I00248,S00623,9,rolls,26.0
P025,C005657,T012747,I00034,S00351,10,cans,16.0
P037,C006230,T049686,I00079,S00101,1,bottles,17.0
P011,C000632,T074016,I00196,S00675,1,ct,$16.0
P035,C006665,T018504,I00057,S0003,10,bottles,24.0
P016,C002589,T088827,I00006,S00463,5,cans,$16.25
P036,C001430,T08209,I00096,S00355,6,bottles,20.0
P021,C003347,T055618,I00134,S00504,1,ct,16.0
P035,C006341,T02795,I00181,S0046,7,ct,26.0
P033,C007552,T082622,I00051,S0062,10,cans,$23.0
