payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P014,C005964,T086070,I00152,S00304,8,bags,15.0
P029,C002022,T022962,I00138,S00184,9,ct,32.0
P037,C008925,T022690,I00133,S00227,10,ct,15.0
P003,C004348,T098920,I00225,S0033,8,ct,17.0
P039,C004746,T051703,I00031,S00502,5,cans,16.0
P020,C002601,T076133,I00092,S0098,3,bottles,10.0
P005,C000147,T082440,I00259,S00379,5,pack,26.0
P036,C008469,T052116,I00165,S00518,11,bags,16.0
P015,C006116,T027177,I00166,S00176,5,bags,17.0
P013,C008975,T068813,I00241,S00335,6,ct,12.0
P029,C007108,T067232,I00163,S00559,1,bags,15.0
P008,C008418,T028275,I00057,S00614,9,bottles,$24.0
P026,C007825,T037947,I00080,S00571,2,bottles,22.0
P037,C003118,T089367,I00039,S0090,3,bottles,26.0
P034,C000206,T07421,I00075,S00510,6,cans,15.5
P029,C003280,T090332,I00066,S00478,10,bottles,20.0
P001,C002572,T092264,I00100,S00390,4,oz.,10.0
P016,C004651,T072771,I00230,S00660,9,pk,15.0
P034,C001960,T083768,I00074,S00550,2,bottles,20.0
P007,C000008,T065569,I00159,S00622,1,bags,17.0
P039,C008063,T055265,I00189,S00531,11,ct.,13.0
P005,C001274,T097035,I00238,S00384,7,ct,12.0
P010,C007793,T074274,I00012,S00119,2,cans,16.25
P039,C007024,T057208,I00237,S00667,8,ct,16.0
P015,C003783,T054095,I00013,S00665,8,cans,6.75
P016,C003989,T095430,I00070,S00384,4,bottles,17.5
P031,C001759,T039089,I00246,S00690,4,ct,$20.0
P038,C004449,T038224,I00230,S00300,1,pk,15.0
P021,C002027,T075679,I00179,S00166,6,ct,19.0
P005,C004496,T053432,I00251,S00328,8,oz,13.0
P020,C001748,T062693,I00222,S00639,6,ct,12.0
P019,C007518,T083602,I00152,S00503,1,bags,15.0
P033,C005334,T058188,I00250,S00705,4,pack,19.5
P028,C008909,T041961,I00228,S00138,1,pk,14.0
P010,C003163,T060730,I00133,S00469,10,ct,$15.0
P030,C005588,T020012,I00248,S00222,2,rolls,26.0
P013,C001614,T082193,I00254,S00498,6,oz,13.0
P035,C005062,T020341,I00110,S0054,4,oz,22.5
P034,C009070,T020341,I00088,S00290,7,bottles,17.0
P022,C005598,T048443,I00254,S00527,5,oz,13.0
P008,C005855,T037832,I00015,S00711,10,cans,6.75
P007,C008632,T064936,I00051,S00350,2,cans,$23.0
P036,C004967,T098490,I00139,S00506,9,ct,24.0
P003,C000494,T033999,I00054,S00327,11,cans,40.0
P019,C004084,T078767,I00053,S00511,8,cans,40.0
P004,C008553,T083014,I00108,S00290,3,oz,15.0
P019,C000647,T084162,I00166,S00360,4,bags,17.0
P011,C008202,T028174,I00130,S00460,9,ct,14.0
P033,C003334,T016272,I00158,S00121,2,,$17.0
P003,C009081,T070220,I00086,S00543,9,cans,18.0
P005,C001418,T017815,I00100,S00397,11,oz.,10.0
P009,C000684,T066965,I00120,S00223,6,ct,9.0
P029,C005678,T039791,I00079,S00542,11,bottles,17.0
P011,C004928,T070167,I00038,S00194,1,bottles,23.0
P002,C000840,T056806,I00132,S00440,3,ct,14.0
P025,C004605,T067688,I00107,S00579,9,oz,20.0
P028,C008266,T080765,I00108,S00657,8,oz,15.0
P012,C001727,T07871,I00136,S00519,4,ct,19.5
P014,C004120,T045986,I00126,S00539,3,ct,25.0
P004,C000885,T070583,I00136,S00597,2,ct,19.5
P031,C000487,T023426,I00157,S00223,5,bags,17.0
P038,C006800,T043744,I00236,S00487,5,tins,12.0
P003,C006975,T06936,I00086,S00461,9,cans,18.0
P007,C001968,T09107,I00233,S00180,3,ct,$12.0
P014,C001000,T071971,I00113,S00449,2,ct,42.0
P029,C003706,T088103,I00260,S00575,3,ct,15.0
P026,C005324,T086332,I00046,S00235,1,cans,8.0
P016,C005502,T071060,I00220,S0061,7,ct,14.0
P011,C007669,T08460,I00234,S00293,3,ct,13.0
P036,C001699,T074939,I00039,S00149,11,bottles,26.0
P024,C009159,T085004,I00137,S00337,10,ct,24.0
P005,C000894,T034480,I00128,S00419,6,pk,16.0
P025,C003026,T041961,I00163,S00105,11,bags,15.0
P028,C007119,T074890,I00212,S00654,1,ct,12.0
P006,C001254,T080952,I00091,S00361,1,bottles,7.5
P024,C008012,T03660,I00041,S00311,4,bottles,23.0
P020,C009014,T030166,I00024,S00468,10,cans,$16.25
P011,C007928,T045188,I00125,S00519,3,ct,15.0
P009,C007526,T021909,I00202,S00421,9,ct.,12.0
P003,C001983,T049123,I00130,S00327,10,ct,14.0
P002,C000056,T095300,I00132,S00614,9,ct,14.0
P027,C003619,T091725,I00041,S0094,6,bottles,23.0
P032,C002312,T086921,I00183,S00560,5,ct,35.0
P009,C008223,T03495,I00212,S00321,1,ct,12.0
P008,C008910,T03789,I00228,S00399,9,pk,$14.0
P012,C003630,T041395,I00066,S00566,7,bottles,20.0
P023,C002464,T040809,I00182,S00104,2,oz,15.0
P007,C004642,T092044,I00240,S00653,3,ct,14.0
P010,C009086,T070944,I00144,S00656,10,ct,20.0
P001,C000797,T024017,I00043,S00460,8,bottles,24.0
P023,C006127,T069394,I00042,S00126,7,bottles,28.0
P021,C006434,T097683,I00254,S00593,11,oz,$13.0
P031,C003976,T080909,I00068,S00149,9,bottles,20.0
P013,C003605,T078063,I00110,S00712,11,oz,$22.5
P020,C001102,T050594,I00228,S00448,6,pk,$14.0
P038,C005727,T034764,I00175,S00455,2,oz,$19.0
P001,C000669,T044784,I00147,S00701,7,ct,15.0
P036,C005657,T085646,I00202,S00347,2,ct.,$12.0
P018,C005793,T086473,I00252,S00319,11,ct,11.0
P030,C007403,T079901,I00087,S00154,9,bottles,15.0
P006,C007526,T049245,I00005,S00220,2,cans,$6.75
P024,C006411,T095403,I00229,S00521,2,ct,$13.0
P020,C000520,T058331,I00223,S0030,7,ct,13.5
P012,C000850,T081282,I00134,S00413,9,ct,16.0
P034,C002005,T096442,I00088,S0074,8,bottles,17.0
P025,C006882,T068350,I00106,S00180,8,oz,17.0
P020,C004683,T082193,I00189,S00389,2,ct.,$13.0
P037,C004958,T06320,I00045,S00307,1,cans,8.0
P022,C003783,T024101,I00127,S00345,3,pk,12.5
P032,C002507,T042517,I00192,S00457,8,ct,24.0
P032,C003696,T080978,I00116,S00105,11,ct,48.0
P022,C000318,T064948,I00058,S00243,9,bottles,22.0
P028,C006487,T07339,I00111,S00660,5,ct,16.0
P021,C000939,T062439,I00186,S00408,10,ct,13.0
P003,C004790,T069917,I00245,S00639,10,rolls,26.0
P020,C003482,T059129,I00006,S00637,11,cans,16.25
P018,C009016,T058503,I00069,S00177,10,bottles,17.5
P019,C006661,T021552,I00088,S00549,7,bottles,17.0
P012,C002825,T046509,I00089,S00449,2,bottles,9.0
P005,C007760,T097683,I00262,S00213,1,ct,14.0
P010,C005770,T045530,I00045,S00654,11,cans,8.0
P012,C005602,T011185,I00143,S00273,9,ct,16.0
P016,C003783,T07302,I00157,S0018,5,bags,$17.0
P001,C005453,T045181,I00251,S00254,5,oz,$13.0
P020,C000484,T084734,I00111,S00209,8,ct,16.0
P016,C007508,T019458,I00027,S00153,8,cans,16.25
P016,C002301,T037947,I00194,S00396,8,bars,23.0
P008,C005716,T030386,I00091,S00580,11,bottles,7.5
P011,C001949,T042134,I00221,S00568,10,ct,14.0
P023,C000285,T05533,I00130,S00240,6,ct,14.0
P031,C007594,T092508,I00232,S00705,8,ct,$12.0
P013,C005240,T045442,I00089,S00226,3,bottles,9.0
P033,C005276,T044606,I00196,S00640,10,ct,16.0
P009,C002504,T02577,I00128,S0029,9,pk,16.0
P030,C005239,T047646,I00007,S00644,7,cans,6.75
P008,C008273,T028174,I00183,S00225,6,ct,35.0
P027,C003535,T042472,I00130,S00229,8,ct,14.0
P002,C000560,T056674,I00138,S00504,5,ct,$32.0
P019,C001610,T086430,I00117,S00560,11,ct,46.0
P026,C003710,T019475,I00119,S0090,7,ct,53.0
P035,C005167,T040006,I00009,S00647,3,cans,16.25
P004,C006692,T031616,I00209,S00335,8,ct,13.0
P012,C001665,T091772,I00081,S00305,3,bottles,29.0
P026,C003189,T07302,I00166,S0023,7,bags,17.0
P005,C004676,T043246,I00114,S0072,9,ct,44.0
P036,C009033,T09267,I00065,S00207,10,bottles,20.0
P030,C003841,T012949,I00075,S00561,10,cans,15.5
P017,C006509,T065907,I00212,S00135,8,ct,12.0
P002,C008559,T098232,I00103,S00453,8,tubs,15.0
P026,C000507,T055049,I00044,S00412,4,cans,8.0
P023,C006443,T023867,I00021,S00705,3,cans,6.75
P038,C004752,T04278,I00153,S0077,4,bags,$15.0
P021,C005801,T063997,I00155,S00227,4,bags,17.0
P031,C002894,T085133,I00231,S00651,11,pk,16.0
P032,C008675,T08100,I00171,S00271,10,ct,16.0
P035,C006026,T095463,I00098,S00271,5,oz,10.0
P028,C000802,T01322,I00173,S00686,11,ct,19.0
P007,C001676,T095252,I00194,S00310,10,bars,23.0
P002,C003811,T081251,I00088,S00233,11,bottles,17.0
P015,C003137,T088011,I00152,S00190,8,bags,15.0
