payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P024,C002903,T049310,I00113,S00668,7,ct,42.0
P011,C002307,T072994,I00177,S00474,7,ct,35.0
P030,C008370,T075762,I00217,S00554,4,oz,20.5
P003,C003306,T014871,I00254,S00550,2,oz,13.0
P033,C007161,T019445,I00048,S00492,6,cans,8.0
P004,C003592,T083430,I00193,S00171,8,ct,18.0
P008,C006273,T057851,I00188,S00672,10,ct,14.0
P014,C001459,T033292,I00200,S00528,5,bars,20.0
P038,C008669,T023296,I00149,S00566,2,ct,15.0
P037,C009182,T038351,I00008,S00386,2,cans,16.25
P032,C008818,T082257,I00186,S00648,5,ct,13.0
P030,C008070,T040805,I00205,S00574,7,ct,$16.0
P002,C005470,T049769,I00111,S00660,4,ct,16.0
P024,C000764,T010190,I00238,S00506,7,ct,12.0
P002,C000552,T041806,I00240,S00392,6,ct,14.0
P014,C000893,T020285,I00030,S0044,8,cans,16.0
P014,C008684,T065036,I00019,S00211,4,cans,6.75
P028,C003908,T030384,I00070,S00356,7,bottles,17.5
P001,C001573,T090654,I00105,S00269,1,ct,16.5
P024,C001490,T015414,I00190,S00202,11,ct,16.0
P018,C006221,T09916,I00054,S00194,5,cans,40.0
P026,C008800,T024969,I00150,S00320,10,bags,16.0
P028,C005901,T041533,I00007,S00389,8,cans,6.75
P037,C004445,T034467,I00234,S0074,10,ct,13.0
P021,C004750,T072994,I00071,S00510,6,bottles,$17.5
P035,C001655,T070238,I00225,S00418,7,ct,17.0
P016,C001890,T097670,I00164,S00659,10,ct,16.0
P038,C003864,T073530,I00048,S0021,7,cans,8.0
P030,C001916,T016175,I00150,S00232,9,bags,16.0
P024,C004549,T062504,I00141,S0078,5,ct,18.0
P039,C008931,T053135,I00093,S00263,7,bottles,13.0
P010,C002713,T012524,I00248,S00724,5,rolls,26.0
P002,C006805,T044851,I00093,S00455,9,bottles,$13.0
P005,C003193,T083961,I00095,S00107,2,botlltes,16.0
P006,C007729,T012124,I00023,S00657,4,cans,6.75
P029,C004387,T058650,I00031,S00387,7,cans,16.0
P024,C001005,T026080,I00018,S00555,9,cans,6.75
P012,C004404,T020942,I00023,S00720,2,cans,6.75
P032,C004176,T053044,I00258,S00420,3,pk,$21.0
P004,C005711,T057848,I00100,S00250,2,oz.,10.0
P034,C002942,T068337,I00006,S00265,3,cans,$16.25
P025,C008452,T017461,I00210,S00697,6,ct,15.0
P034,C007244,T028025,I00159,S0085,6,bags,17.0
P023,C007934,T064220,I00055,S00701,3,cans,40.0
P022,C008387,T021263,I00118,S00265,6,ct,42.0
P039,C006439,T084496,I00018,S0019,5,cans,6.75
P036,C001506,T097362,I00038,S0083,11,bottles,23.0
P028,C006451,T099869,I00212,S00550,3,ct,12.0
P029,C002663,T064220,I00190,S0023,3,ct,16.0
P013,C004944,T021439,I00185,S00638,6,ct,14.0
P010,C004514,T044325,I00015,S00694,10,cans,6.75
P005,C001411,T048034,I00022,S00192,3,cans,16.25
P022,C008656,T098775,I00062,S00583,11,cans,37.0
P025,C001704,T039652,I00062,S00144,3,cans,$37.0
P012,C005924,T086925,I00239,S00402,11,pk,$14.0
P002,C001168,T049271,I00034,S00559,7,cans,16.0
P006,C005351,T04525,I00008,S00155,2,cans,16.25
P007,C001177,T018757,I00163,S00257,8,bags,15.0
P019,C008502,T085429,I00108,S0032,7,oz,15.0
P028,C003486,T047943,I00230,S00710,2,pk,15.0
P004,C001493,T095022,I00220,S00512,1,ct,14.0
P004,C008720,T069482,I00060,S00487,2,bottles,22.0
P020,C005053,T040498,I00080,S00404,8,bottles,$22.0
P016,C005736,T053280,I00051,S00308,10,cans,23.0
P021,C008152,T059314,I00227,S00666,11,pk,15.0
P015,C000418,T035488,I00216,S00466,2,ct,16.5
P029,C000632,T084942,I00131,S00612,8,ct,$14.0
P001,C005038,T092076,I00098,S00138,9,oz,10.0
P037,C005205,T08591,I00051,S00504,2,cans,23.0
P026,C004180,T031150,I00245,S0032,11,rolls,26.0
P027,C003563,T015139,I00123,S00304,5,ct,$45.0
P023,C003852,T021439,I00073,S00487,11,bottles,20.0
P008,C006358,T034479,I00147,S0027,5,ct,15.0
P035,C000473,T071461,I00117,S00508,7,ct,46.0
P007,C008324,T090276,I00024,S00251,4,cans,16.25
P032,C002043,T043011,I00200,S0048,6,bars,$20.0
P013,C000195,T087303,I00171,S00666,1,ct,16.0
P028,C007579,T085467,I00139,S00686,1,ct,24.0
P007,C002164,T060919,I00151,S00615,4,bags,17.0
P006,C002371,T07859,I00117,S00616,10,ct,46.0
P034,C007879,T070621,I00086,S0083,11,cans,18.0
P015,C008565,T095586,I00150,S00268,5,bags,16.0
P013,C002198,T030928,I00005,S00195,6,cans,6.75
P003,C006239,T042987,I00011,S00200,10,cans,6.75
P038,C008443,T018764,I00255,S00515,10,pack,20.0
P037,C005021,T053778,I00244,S00694,1,oz,18.0
P006,C002824,T056154,I00254,S00129,2,oz,13.0
P003,C007770,T047732,I00102,S00259,11,tubs,16.0
P034,C005806,T08591,I00032,S00276,11,cans,16.0
P033,C006311,T081732,I00034,S00372,2,cans,16.0
P034,C006421,T097663,I00064,S00163,8,cans,40.0
P022,C004458,T096078,I00100,S00157,9,oz.,10.0
P015,C007071,T019234,I00221,S00719,2,ct,14.0
P002,C000020,T090932,I00206,S00418,1,ct,15.0
P028,C007980,T053146,I00143,S00132,11,ct,16.0
P038,C005077,T089101,I00239,S00496,6,pk,14.0
P022,C007932,T053204,I00074,S00304,9,bottles,20.0
P038,C002903,T048689,I00089,S00382,1,bottles,9.0
P025,C000508,T013531,I00157,S0016,10,bags,17.0
P036,C006153,T039164,I00209,S00228,2,ct,13.0
P017,C000036,T094794,I00137,S00270,1,ct,24.0
P004,C002772,T097769,I00115,S00343,5,ct,53.0
P031,C007805,T07097,I00170,S00320,9,ct.,15.0
P006,C008401,T059516,I00057,S00338,2,bottles,$24.0
P024,C001797,T011339,I00184,S00655,11,ct,12.0
P028,C007749,T061337,I00150,S00725,7,bags,16.0
P024,C003960,T028173,I00037,S00180,5,cans,16.0
P038,C005887,T071461,I00250,S0098,9,pack,19.5
P032,C000506,T015907,I00011,S00401,9,cans,6.75
P038,C006987,T030872,I00191,S00529,7,bars,24.0
P027,C003765,T083658,I00011,S00123,2,cans,6.75
P012,C000637,T025366,I00043,S00706,4,bottles,24.0
P019,C000803,T079166,I00113,S00346,6,ct,42.0
P013,C008744,T036644,I00141,S0088,6,ct,18.0
P023,C006649,T053204,I00028,S00267,4,cans,6.75
P027,C003017,T039835,I00044,S00569,2,cans,8.0
P007,C005340,T092516,I00218,S00404,10,ct,6.0
P030,C004079,T092076,I00109,S00722,8,oz,17.0
P037,C005779,T095115,I00223,S00209,5,ct,$13.5
P003,C000893,T083559,I00185,S0076,1,ct,14.0
P016,C004004,T053778,I00188,S0065,8,ct,14.0
P028,C006468,T051046,I00034,S00653,3,cans,16.0
P021,C006208,T098183,I00239,S0010,8,pk,14.0
P035,C007954,T046026,I00042,S00229,4,bottles,28.0
P033,C006038,T012124,I00065,S0014,7,bottles,20.0
P015,C000791,T095891,I00211,S00505,3,ct.,15.0
P007,C002350,T013826,I00154,S00389,8,Bags,15.0
P012,C000278,T077619,I00231,S0009,10,pk,16.0
P030,C006845,T017841,I00124,S00599,6,ct,15.0
P007,C007141,T068407,I00061,S00583,11,cans,55.0
P001,C004392,T097615,I00065,S00725,3,bottles,20.0
P032,C009084,T033528,I00190,S00468,3,ct,16.0
P018,C000342,T052993,I00140,S00194,9,ct,29.0
P019,C004800,T056601,I00017,S00594,6,cans,6.75
P032,C007011,T098299,I00148,S00102,2,ct,15.0
P001,C007591,T086974,I00216,S00702,9,ct,16.5
P032,C006560,T049874,I00048,S00241,3,cans,8.0
P027,C002332,T022682,I00093,S00394,6,bottles,13.0
P026,C008541,T018299,I00147,S00704,9,ct,15.0
P004,C001629,T06381,I00134,S00402,9,ct,16.0
P004,C001658,T099869,I00127,S00380,2,pk,12.5
P009,C008111,T082954,I00217,S00709,9,oz,20.5
P037,C003720,T020285,I00095,S00615,9,botlltes,16.0
P005,C006541,T089494,I00019,S00508,6,cans,6.75
P018,C005820,T02494,I00156,S00101,7,bags,17.0
P011,C001141,T063043,I00187,S00204,5,ct.,13.0
P028,C005097,T071936,I00091,S00386,7,bottles,7.5
P013,C004610,T085579,I00138,S00124,6,ct,32.0
P032,C004160,T059828,I00101,S00608,5,tubs,15.0
P016,C006140,T016175,I00143,S0013,11,ct,16.0
P029,C000492,T04319,I00044,S00153,11,cans,8.0
P025,C007150,T060902,I00172,S00624,7,oz,19.0
P037,C003953,T047386,I00003,S0081,9,cans,6.75
P011,C007832,T018252,I00147,S0009,11,ct,15.0
P029,C000990,T077068,I00119,S00411,2,ct,53.0
P030,C001898,T087561,I00032,S00151,7,cans,16.0
P039,C008823,T063738,I00176,S00463,4,ct,$19.0
P028,C002002,T088716,I00125,S00515,1,ct,$15.0
P027,C001187,T022457,I00160,S00371,7,bags,17.0
P014,C004285,T053333,I00039,S00310,9,bottles,26.0
P007,C003024,T022789,I00181,S00167,8,ct,$26.0
P027,C003638,T026906,I00140,S00600,10,ct,29.0
P026,C001389,T022760,I00227,S00179,8,pk,15.0
P010,C006709,T07114,I00209,S00677,10,ct,13.0
P032,C002378,T023504,I00150,S00138,10,bags,16.0
P005,C003312,T010463,I00045,S00641,5,cans,8.0
P021,C003054,T041806,I00027,S00197,9,cans,16.25
P028,C004595,T015012,I00109,S00490,7,oz,17.0
P009,C004703,T07178,I00147,S0006,8,ct,15.0
P011,C001744,T053017,I00063,S00573,4,cans,40.0
P009,C006950,T029048,I00034,S00216,7,cans,16.0
P023,C000083,T095916,I00041,S00424,11,bottles,23.0
P010,C004155,T044871,I00234,S00198,2,ct,13.0
P014,C007624,T092101,I00108,S00540,6,oz,15.0
P030,C005298,T096783,I00219,S00283,9,ct,$22.0
P021,C007350,T013819,I00049,S00415,6,cans,8.0
P004,C000878,T037371,I00029,S00244,1,cans,11.5
P001,C008045,T097545,I00202,S00339,9,ct.,12.0
P001,C007246,T021162,I00226,S00698,6,lb,15.0
P022,C000787,T030950,I00100,S0039,11,oz.,10.0
