payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P017,C002841,T047869,I00263,S00556,5,Ct,14.0
P032,C007910,T039610,I00192,S00389,2,ct,24.0
P001,C003666,T053021,I00070,S00103,10,bottles,17.5
P009,C004056,T046939,I00175,S00324,2,oz,19.0
P001,C003725,T07624,I00144,S0011,7,ct,20.0
P002,C007466,T06109,I00060,S0050,7,bottles,22.0
P037,C005248,T037233,I00029,S0098,11,cans,11.5
P023,C005935,T091467,I00256,S00105,2,pack,$20.0
P009,C000090,T06658,I00147,S0058,10,ct,15.0
P033,C000481,T072125,I00171,S00141,2,ct,16.0
P010,C002257,T062275,I00127,S00408,1,pk,12.5
P014,C000770,T096774,I00163,S00610,5,bags,15.0
P036,C004503,T097536,I00118,S0037,5,ct,42.0
P017,C008541,T053727,I00045,S00455,8,cans,8.0
P012,C002908,T097148,I00210,S00603,4,ct,15.0
P031,C008602,T069407,I00059,S00709,10,bottles,$22.0
P039,C008761,T04777,I00047,S00701,5,cans,8.0
P004,C006093,T045184,I00142,S00507,7,ct,12.5
P001,C000048,T053481,I00009,S00517,9,cans,16.25
P014,C009124,T034801,I00100,S00520,8,oz.,10.0
P039,C004652,T077080,I00170,S00276,7,ct.,15.0
P003,C005424,T034801,I00034,S00224,5,cans,16.0
P030,C004640,T013617,I00064,S00370,9,cans,40.0
P028,C003322,T027785,I00171,S00349,10,ct,16.0
P036,C001011,T022518,I00218,S00184,2,ct,6.0
P017,C000226,T097324,I00100,S00690,8,oz.,10.0
P025,C005392,T061768,I00247,S00249,8,oz,15.0
P015,C003313,T057298,I00257,S00371,9,ct,21.0
P013,C004620,T047927,I00172,S00430,7,oz,19.0
P013,C007440,T075186,I00127,S00162,5,pk,12.5
P011,C006712,T093314,I00109,S00261,10,oz,17.0
P026,C002684,T090873,I00044,S0012,7,cans,8.0
P012,C007235,T066220,I00127,S00212,9,pk,12.5
P001,C000619,T098218,I00102,S00465,10,tubs,16.0
P008,C001769,T039726,I00255,S00341,4,pack,20.0
P018,C005465,T08255,I00083,S00562,7,bottles,14.0
P025,C008247,T065938,I00192,S0038,11,ct,24.0
P009,C003788,T054055,I00095,S00174,4,botlltes,16.0
P033,C002245,T03168,I00037,S00409,2,cans,16.0
P009,C001806,T030815,I00159,S00724,5,bags,17.0
P031,C005614,T064324,I00016,S00419,8,cans,16.25
P014,C008053,T028154,I00172,S00212,1,oz,19.0
P034,C008971,T052359,I00250,S00236,11,pack,19.5
P007,C005042,T057136,I00066,S00537,4,bottles,20.0
P022,C001699,T096509,I00208,S00152,10,ct,14.0
P013,C008676,T044990,I00059,S00256,1,bottles,22.0
P006,C005564,T032344,I00249,S00657,3,pack,16.0
P025,C002410,T018298,I00172,S00559,4,oz,19.0
