payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P018,C005957,T022487,I00155,S00177,11,bags,17.0
P019,C008496,T081480,I00247,S0015,8,oz,15.0
P038,C006237,T086053,I00185,S00368,9,ct,14.0
P034,C001608,T022281,I00159,S00430,8,bags,17.0
P039,C007758,T083600,I00036,S00196,6,cans,16.0
P033,C006829,T099142,I00260,S00195,6,ct,15.0
P024,C008749,T096829,I00151,S00701,6,bags,17.0
P021,C004339,T011850,I00018,S00533,9,cans,6.75
P038,C006077,T081480,I00013,S00212,10,cans,6.75
P006,C005956,T045901,I00073,S00586,6,bottles,20.0
P013,C004219,T039217,I00087,S0083,5,bottles,15.0
P012,C006464,T037195,I00189,S00471,7,ct.,13.0
P031,C005005,T099062,I00232,S00213,7,ct,$12.0
P002,C005101,T066000,I00185,S00129,8,ct,14.0
P022,C001152,T088465,I00052,S00172,7,cans,40.0
P008,C007601,T075312,I00026,S00217,5,cans,6.75
P005,C001599,T046741,I00221,S0018,4,ct,14.0
P012,C001732,T047025,I00050,S00492,11,cans,8.0
P027,C000428,T087771,I00125,S00120,1,ct,15.0
P015,C005992,T08933,I00211,S00554,5,ct.,15.0
P010,C001221,T050412,I00237,S0030,5,ct,16.0
P037,C004419,T015247,I00043,S0087,3,bottles,24.0
P027,C005751,T01983,I00069,S00378,5,bottles,17.5
P038,C002985,T091991,I00070,S00701,8,bottles,17.5
P028,C007048,T046512,I00027,S00432,9,cans,16.25
P031,C005968,T021088,I00044,S00100,6,cans,$8.0
P026,C004379,T071668,I00231,S00514,4,pk,16.0
P020,C006090,T014221,I00140,S00682,8,ct,29.0
P008,C002434,T020163,I00066,S00419,11,bottles,20.0
P035,C000199,T069079,I00070,S00340,3,bottles,$17.5
P012,C002892,T022361,I00255,S00166,6,pack,$20.0
P009,C005954,T053149,I00200,S00478,7,bars,20.0
P021,C005087,T049940,I00162,S00705,4,Bags,16.0
P013,C004281,T047882,I00180,S00447,11,ct,19.0
P036,C004266,T055596,I00099,S0021,8,oz,6.0
P018,C006286,T072194,I00031,S0038,4,cans,16.0
P023,C008943,T031217,I00125,S00359,4,ct,15.0
P013,C003250,T037817,I00142,S00588,2,ct,12.5
P012,C001152,T065335,I00126,S00120,4,ct,25.0
P036,C000627,T097270,I00112,S00296,4,ct.,14.0
P030,C003258,T069117,I00164,S00273,6,ct,16.0
P033,C005258,T052357,I00032,S0082,4,cans,16.0
P018,C008678,T039538,I00050,S00333,4,cans,8.0
P033,C005763,T011850,I00135,S00413,4,ct.,14.0
P014,C003801,T025207,I00059,S00725,8,bottles,22.0
P033,C008919,T073214,I00066,S00382,9,bottles,20.0
P032,C004196,T079047,I00036,S0050,10,cans,16.0
P026,C004608,T095606,I00024,S0017,4,cans,16.25
P006,C003383,T05947,I00143,S00705,10,ct,16.0
P037,C002658,T015652,I00114,S00551,4,ct,44.0
P031,C003816,T075642,I00136,S00426,3,ct,19.5
P006,C003692,T050863,I00232,S0041,2,ct,12.0
P002,C004540,T077497,I00130,S00637,7,ct,14.0
P025,C006289,T030582,I00088,S00332,5,bottles,17.0
P036,C001636,T083600,I00181,S00110,10,ct,26.0
P033,C007205,T068618,I00221,S00181,9,ct,14.0
P033,C005534,T015578,I00070,S00632,7,bottles,17.5
P006,C001803,T09121,I00245,S00446,8,rolls,26.0
P003,C004646,T03994,I00099,S00296,7,oz,6.0
P036,C004061,T020825,I00157,S00592,3,bags,17.0
P024,C007985,T026679,I00119,S00179,9,ct,53.0
P038,C002190,T054827,I00253,S00635,1,bags,21.0
P003,C005563,T010587,I00164,S0082,10,ct,$16.0
P034,C005828,T062554,I00033,S00623,5,cans,16.0
P019,C004711,T031209,I00051,S00477,6,cans,23.0
P004,C004586,T093288,I00237,S00448,5,ct,$16.0
P007,C006475,T047245,I00082,S00288,11,ct,15.0
P006,C001866,T066043,I00216,S00412,7,ct,16.5
P022,C006334,T05582,I00029,S00340,3,cans,$11.5
P019,C004424,T014059,I00003,S00454,8,cans,6.75
P009,C004462,T059487,I00247,S00613,8,oz,15.0
P036,C005891,T018197,I00214,S00710,6,oz,19.5
P030,C005286,T055377,I00206,S00289,10,ct,15.0
P002,C001439,T03205,I00212,S00600,7,ct,12.0
P025,C007199,T076004,I00057,S00436,2,bottles,$24.0
P032,C007934,T052357,I00178,S00387,6,ct,26.0
P031,C003103,T028420,I00080,S00619,6,bottles,22.0
P034,C000242,T096111,I00100,S00550,3,oz.,$10.0
P008,C005202,T051152,I00038,S00534,3,bottles,23.0
P004,C000815,T085479,I00008,S0081,4,cans,16.25
P010,C008394,T045683,I00079,S00318,5,bottles,17.0
P023,C005518,T018250,I00244,S0072,10,oz,18.0
P034,C002278,T099482,I00150,S00504,9,bags,16.0
P022,C005135,T042003,I00072,S00183,7,bottles,20.0
P024,C008285,T083271,I00227,S00665,2,pk,15.0
P005,C008403,T018402,I00140,S0041,5,ct,29.0
P021,C008318,T091463,I00080,S00151,3,bottles,22.0
P009,C007733,T022734,I00080,S00450,2,bottles,$22.0
P034,C005410,T091356,I00174,S00205,3,oz,18.0
P036,C008807,T050329,I00212,S00725,4,ct,12.0
P012,C002747,T014983,I00060,S00114,9,bottles,22.0
P003,C000042,T062736,I00110,S00504,4,oz,$22.5
P014,C002966,T075069,I00030,S0028,9,cans,16.0
P007,C007520,T044955,I00191,S00409,3,bars,24.0
P017,C006551,T063124,I00234,S00531,8,ct,13.0
P027,C007653,T088792,I00010,S00364,3,cans,6.75
P011,C003817,T056040,I00243,S0090,3,oz,16.0
P038,C007107,T036744,I00178,S0010,11,ct,26.0
P027,C005783,T074676,I00054,S00188,11,cans,40.0
P031,C006730,T087803,I00143,S00672,6,ct,16.0
P021,C004603,T058622,I00053,S00428,10,cans,40.0
P006,C003009,T068106,I00074,S00129,9,bottles,20.0
P029,C002549,T042441,I00003,S0074,9,cans,6.75
P037,C000235,T026658,I00037,S00491,1,cans,16.0
P021,C007058,T036040,I00005,S00679,8,cans,6.75
P017,C001138,T049846,I00090,S00362,2,bottles,9.0
P022,C002445,T050035,I00117,S00577,5,ct,46.0
P006,C001506,T098163,I00248,S00125,11,rolls,26.0
P016,C000905,T049261,I00043,S00339,1,bottles,24.0
P033,C007945,T04240,I00175,S00192,5,oz,19.0
P024,C003755,T00938,I00258,S00263,4,pk,21.0
P007,C004727,T015631,I00181,S0038,8,ct,26.0
P013,C004447,T087435,I00078,S00298,10,bottles,17.0
P025,C003743,T06551,I00142,S00124,6,ct,12.5
P025,C007094,T00938,I00157,S00159,5,bags,17.0
P028,C001150,T013414,I00070,S00506,11,bottles,17.5
P011,C006532,T05582,I00121,S00390,11,ct,17.0
P029,C005599,T064932,I00170,S00186,5,ct.,15.0
P027,C006827,T024153,I00206,S00314,9,ct,15.0
P031,C003624,T051137,I00097,S00549,10,cartons,19.0
P008,C000286,T083811,I00145,S00283,1,ct,17.0
P008,C007709,T035310,I00138,S00392,6,ct,32.0
P010,C007637,T074347,I00235,S00129,3,ct,$14.0
P013,C006372,T099715,I00104,S00673,7,ct,14.0
P004,C006548,T065335,I00230,S00423,10,pk,15.0
P039,C005905,T094017,I00256,S0066,10,pack,20.0
P028,C000228,T035596,I00104,S00353,7,ct,14.0
P023,C008559,T075312,I00204,S0020,2,ct,17.0
P030,C002012,T035478,I00155,S00420,7,bags,17.0
P003,C006667,T024102,I00012,S00270,7,cans,16.25
P020,C005272,T093111,I00167,S00147,3,ct,14.0
P029,C001511,T067610,I00017,S00709,11,cans,6.75
P036,C000544,T096829,I00203,S00699,11,ct,18.0
P006,C004732,T089516,I00244,S0063,6,oz,18.0
P018,C009149,T081277,I00093,S00354,6,bottles,13.0
P032,C005138,T00744,I00137,S00572,3,ct,24.0
P038,C002208,T073916,I00037,S00562,1,cans,16.0
P006,C002095,T050444,I00051,S00614,11,cans,23.0
P002,C008101,T051869,I00007,S00718,3,cans,6.75
P033,C006365,T060953,I00215,S00555,1,ct.,14.0
P022,C003653,T046445,I00176,S00345,4,ct,19.0
P021,C002490,T065221,I00223,S00187,7,ct,13.5
P024,C001180,T013240,I00160,S00569,10,bags,17.0
P039,C007727,T01787,I00171,S00587,1,ct,$16.0
P018,C005232,T065208,I00163,S0082,4,bags,15.0
