payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P011,C005539,T066539,I00205,S00258,1,ct,$16.0
P039,C002922,T086223,I00110,S00475,11,oz,22.5
P030,C000113,T014232,I00068,S0098,4,bottles,20.0
P033,C008253,T011615,I00183,S00408,1,ct,35.0
P034,C006967,T097402,I00012,S00269,10,cans,$16.25
P026,C007843,T096220,I00021,S00224,5,cans,6.75
P026,C008361,T099386,I00251,S00718,3,oz,13.0
P016,C001339,T073838,I00259,S00363,1,pack,$26.0
P020,C000875,T093660,I00175,S00719,3,oz,19.0
P011,C002899,T029259,I00196,S00201,1,ct,16.0
P026,C007699,T078558,I00230,S00718,7,pk,15.0
P017,C005762,T092897,I00062,S00473,1,cans,$37.0
P029,C005674,T09406,I00146,S0040,7,ct,$21.0
P007,C000187,T097402,I00021,S00662,11,cans,6.75
P031,C000667,T067344,I00123,S00547,9,ct,45.0
P008,C004804,T069313,I00091,S00665,1,bottles,7.5
P016,C000619,T063824,I00074,S00723,1,bottles,20.0
P037,C000164,T082181,I00023,S00382,5,cans,6.75
P022,C004829,T059560,I00062,S00340,2,cans,37.0
P033,C007069,T04263,I00089,S00267,4,bottles,9.0
P010,C007193,T062083,I00052,S00214,2,cans,40.0
P033,C000817,T078476,I00080,S00250,8,bottles,22.0
P021,C002606,T034481,I00060,S00227,1,bottles,22.0
P039,C001780,T082181,I00054,S00344,1,cans,40.0
P019,C008104,T039907,I00023,S00112,1,cans,6.75
P013,C006781,T058721,I00262,S00274,6,ct,14.0
P026,C006780,T069369,I00023,S00419,8,cans,6.75
P017,C006912,T014232,I00182,S00331,8,oz,15.0
P031,C003619,T081083,I00032,S0051,11,cans,16.0
P011,C006916,T086869,I00228,S00330,8,pk,14.0
P001,C001067,T089856,I00194,S00657,3,bars,23.0
P018,C001326,T068057,I00132,S00373,3,ct,14.0
P018,C003308,T037813,I00219,S00228,7,ct,22.0
P018,C003147,T050582,I00014,S00650,4,cans,6.75
P014,C003258,T053737,I00154,S0073,1,Bags,15.0
P009,C009126,T068412,I00237,S00395,5,ct,16.0
P031,C000896,T07618,I00011,S00196,8,cans,6.75
P031,C008804,T018090,I00182,S00219,11,oz,15.0
P014,C001971,T051024,I00221,S0080,3,ct,$14.0
P034,C004834,T052097,I00196,S00562,11,ct,16.0
P034,C001098,T060336,I00156,S00715,4,bags,$17.0
P039,C000655,T017006,I00046,S00169,9,cans,8.0
P019,C006367,T01097,I00260,S00222,2,ct,15.0
P016,C007586,T02818,I00014,S00532,6,cans,6.75
P003,C008143,T034850,I00069,S00490,5,bottles,17.5
P006,C005403,T010578,I00041,S00683,5,bottles,23.0
P032,C002814,T096100,I00224,S00313,9,oz,11.0
P032,C000212,T093660,I00150,S00553,2,bags,16.0
P021,C002764,T048437,I00136,S00259,9,ct,$19.5
P031,C003555,T014903,I00229,S00604,5,ct,13.0
P030,C003710,T072921,I00110,S00161,6,oz,22.5
P026,C007755,T021405,I00055,S0094,3,cans,40.0
P010,C001748,T016590,I00101,S00569,6,tubs,15.0
P015,C008604,T060336,I00113,S00590,11,ct,42.0
P011,C005050,T083540,I00019,S00563,3,cans,6.75
P009,C002765,T058881,I00115,S00663,5,ct,53.0
P002,C008825,T055898,I00175,S00613,6,oz,19.0
P011,C005840,T073636,I00159,S00518,10,bags,17.0
P039,C008353,T02347,I00116,S00180,8,ct,48.0
P015,C003666,T018090,I00026,S00324,2,cans,6.75
P003,C000782,T076104,I00140,S00435,1,ct,29.0
P011,C003086,T047645,I00259,S00479,1,pack,26.0
P013,C005939,T066358,I00042,S00189,5,bottles,28.0
P005,C007955,T051121,I00060,S0008,7,bottles,$22.0
P028,C006048,T042917,I00038,S00499,4,bottles,23.0
P033,C001582,T061690,I00099,S00564,2,oz,6.0
P003,C003977,T014527,I00132,S00577,3,ct,14.0
P009,C000516,T013141,I00260,S00458,10,ct,15.0
P030,C006587,T023707,I00111,S00264,9,ct,16.0
P037,C004364,T088444,I00233,S00626,1,ct,12.0
P001,C005239,T039025,I00037,S00187,10,cans,16.0
P027,C003523,T088352,I00060,S00253,4,bottles,22.0
P038,C009115,T034250,I00164,S00221,5,ct,16.0
P008,C002412,T019703,I00035,S00114,11,cans,16.0
P030,C000408,T048429,I00261,S00476,1,ct,33.0
P014,C003246,T014903,I00202,S00364,4,ct.,12.0
P014,C001188,T050883,I00111,S00122,10,ct,16.0
P006,C000997,T060336,I00088,S00574,5,bottles,17.0
P019,C007188,T072604,I00172,S00510,1,oz,19.0
P012,C004153,T029259,I00068,S00696,8,bottles,20.0
P038,C000987,T065488,I00037,S0019,7,cans,16.0
P021,C000035,T041694,I00006,S00183,5,cans,16.25
P018,C005269,T01890,I00163,S00360,6,bags,15.0
P035,C007932,T072985,I00252,S00584,5,ct,11.0
P035,C008783,T056877,I00232,S00484,2,ct,12.0
P020,C001710,T076834,I00256,S00494,11,pack,20.0
P014,C003587,T092096,I00058,S0053,11,bottles,22.0
P010,C006808,T044459,I00013,S00575,1,cans,$6.75
P038,C008648,T030584,I00098,S00445,2,oz,10.0
P019,C000875,T027089,I00028,S00321,2,cans,6.75
P024,C008531,T099959,I00101,S00247,8,tubs,15.0
P026,C006126,T021584,I00116,S00677,1,ct,$48.0
P034,C006427,T032168,I00261,S00560,9,ct,33.0
P014,C002602,T055465,I00073,S00635,2,bottles,20.0
P012,C004964,T049905,I00192,S00122,4,ct,$24.0
P004,C005866,T051602,I00027,S00336,1,cans,$16.25
P038,C002576,T059369,I00044,S00313,9,cans,8.0
P001,C002843,T022205,I00005,S00290,9,cans,6.75
P021,C005735,T031993,I00256,S00434,8,pack,20.0
P021,C006857,T089834,I00119,S00479,1,ct,$53.0
P039,C004488,T015458,I00036,S00606,2,cans,16.0
