payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P024,C003011,T038832,I00050,S00263,6,cans,8.0
P008,C005395,T074043,I00217,S00423,2,oz,20.5
P009,C002670,T017864,I00128,S00224,7,pk,16.0
P023,C002038,T050219,I00036,S00157,2,cans,16.0
P038,C006318,T082021,I00218,S00598,6,ct,6.0
P013,C008647,T082794,I00020,S00181,7,cans,6.75
P005,C001648,T02056,I00117,S00650,11,ct,46.0
P026,C000493,T088744,I00248,S00271,6,rolls,$26.0
P013,C007399,T054038,I00159,S0069,6,bags,17.0
P039,C005400,T028760,I00217,S00454,4,oz,$20.5
P030,C008310,T045636,I00220,S00655,1,ct,$14.0
P032,C001086,T024788,I00146,S0020,11,ct,21.0
P026,C003894,T040467,I00035,S00520,8,cans,16.0
P038,C000778,T022834,I00248,S00266,10,rolls,26.0
P033,C002016,T033143,I00073,S00533,4,bottles,20.0
P017,C001620,T043800,I00192,S00723,3,ct,$24.0
P021,C008534,T069414,I00147,S0080,4,ct,15.0
P034,C003532,T028614,I00053,S00141,3,cans,40.0
P004,C002372,T048953,I00050,S00166,11,cans,8.0
P004,C004595,T032158,I00089,S0063,1,bottles,9.0
P021,C007642,T069981,I00029,S00347,10,cans,11.5
P005,C008506,T05521,I00062,S00117,10,cans,37.0
P026,C004637,T072392,I00135,S0052,2,ct.,14.0
P009,C009142,T028949,I00107,S00249,5,oz,20.0
P012,C009020,T037108,I00003,S0019,8,cans,6.75
P009,C008267,T088393,I00257,S00367,8,ct,21.0
P039,C008444,T046455,I00026,S00443,9,cans,6.75
P024,C002384,T090207,I00012,S00230,7,cans,$16.25
P005,C007044,T073405,I00149,S0022,11,ct,15.0
P020,C009050,T075523,I00090,S00621,5,bottles,$9.0
P025,C006998,T021984,I00191,S00261,11,bars,$24.0
P011,C000812,T037664,I00023,S00385,7,cans,6.75
P014,C000732,T085596,I00173,S00418,6,ct,19.0
P030,C007292,T042653,I00071,S00379,2,bottles,17.5
P024,C006113,T081902,I00192,S00171,10,ct,24.0
P016,C003966,T088851,I00190,S00218,6,ct,16.0
P036,C008371,T011727,I00036,S00124,2,cans,16.0
P005,C003033,T047100,I00166,S00449,2,bags,17.0
P001,C005550,T089822,I00016,S00724,2,cans,16.25
P021,C000025,T097806,I00160,S00356,4,bags,17.0
P023,C005778,T025443,I00118,S00435,3,ct,42.0
P026,C005928,T084704,I00217,S00174,6,oz,20.5
P038,C001285,T083690,I00256,S0038,1,pack,20.0
P027,C005323,T014468,I00010,S0060,11,cans,6.75
P009,C005714,T057097,I00055,S00497,2,cans,40.0
P027,C000190,T087634,I00060,S00670,6,bottles,22.0
P025,C000055,T01271,I00157,S0003,3,bags,17.0
P023,C005837,T013924,I00256,S00621,5,pack,20.0
P016,C004619,T081720,I00079,S00181,9,bottles,17.0
P006,C001575,T088729,I00071,S0037,7,bottles,17.5
P015,C000689,T034016,I00078,S00116,8,bottles,17.0
P031,C000631,T04836,I00248,S00435,4,rolls,26.0
P013,C000901,T05233,I00241,S00491,2,ct,12.0
P027,C000009,T062147,I00136,S00277,6,ct,19.5
P014,C006561,T082337,I00241,S00212,6,ct,12.0
P028,C007825,T080334,I00024,S00477,11,cans,16.25
P017,C000044,T024414,I00121,S00201,9,ct,17.0
P022,C002234,T03240,I00235,S00381,4,ct,14.0
P025,C001766,T052689,I00241,S0004,1,ct,12.0
P006,C007701,T052818,I00063,S00611,3,cans,40.0
P032,C007659,T01246,I00132,S00144,5,ct,14.0
P002,C003794,T089795,I00071,S00486,1,bottles,17.5
P036,C004376,T012752,I00114,S00245,3,ct,44.0
P030,C004214,T06668,I00187,S00559,5,ct.,13.0
P035,C001282,T022179,I00169,S00557,11,ct,17.0
P037,C008006,T088710,I00206,S00700,3,ct,15.0
P035,C009042,T071324,I00173,S00684,5,ct,19.0
P027,C003916,T093655,I00074,S00343,2,bottles,20.0
P011,C008847,T043236,I00110,S00575,6,oz,22.5
P020,C002102,T059942,I00066,S00438,10,bottles,20.0
P016,C000602,T055963,I00123,S00371,3,ct,45.0
P015,C000997,T076432,I00237,S00167,7,ct,16.0
P027,C006764,T046768,I00118,S00507,3,ct,42.0
P002,C008258,T096847,I00255,S00225,7,pack,20.0
P019,C005145,T088729,I00076,S00639,5,cans,6.75
P003,C007618,T048214,I00008,S00305,6,cans,16.25
P018,C000428,T050951,I00241,S00400,1,ct,12.0
P023,C006006,T028091,I00215,S0056,10,ct.,14.0
P019,C003809,T095997,I00233,S0097,8,ct,12.0
P002,C000440,T021854,I00220,S00300,8,ct,$14.0
P020,C002276,T033661,I00022,S00719,7,cans,16.25
P034,C004147,T017674,I00031,S0025,2,cans,16.0
P024,C001754,T040932,I00146,S00429,5,ct,21.0
P026,C004011,T050397,I00221,S00435,3,ct,14.0
P002,C004415,T029982,I00153,S00508,11,bags,15.0
P014,C002856,T086598,I00134,S00600,11,ct,16.0
P026,C008148,T021342,I00229,S00399,11,ct,13.0
P005,C008527,T054117,I00115,S00130,5,ct,53.0
P006,C008452,T088818,I00115,S0095,7,ct,53.0
P009,C004645,T050062,I00180,S00691,10,ct,19.0
P024,C006322,T027286,I00214,S00379,1,oz,19.5
P004,C008913,T060170,I00035,S00104,7,cans,16.0
P038,C004336,T023598,I00072,S0099,8,bottles,20.0
P009,C000528,T083342,I00113,S00520,1,ct,42.0
P033,C004511,T055201,I00127,S00477,6,pk,$12.5
P017,C001200,T048951,I00101,S00102,11,tubs,15.0
P007,C007455,T046526,I00222,S00103,8,ct,$12.0
P038,C007345,T076836,I00052,S00580,5,cans,$40.0
P037,C004857,T015939,I00260,S00542,7,ct,15.0
P022,C001680,T090694,I00139,S00549,2,ct,24.0
P004,C003555,T054822,I00126,S00153,7,ct,25.0
P019,C004832,T031511,I00105,S00370,5,ct,16.5
P020,C007027,T060170,I00037,S00481,2,cans,16.0
P029,C001644,T034488,I00067,S00229,3,bottles,8.0
P015,C004136,T050519,I00165,S00671,3,bags,16.0
P008,C004061,T098391,I00212,S00271,7,ct,12.0
P011,C007916,T048144,I00147,S0005,7,ct,15.0
P030,C003964,T071324,I00107,S00685,9,oz,20.0
P030,C001615,T034048,I00006,S00432,4,cans,16.25
P009,C006270,T046964,I00264,S00362,4,Ct,15.0
P034,C005774,T00719,I00183,S0068,4,ct,35.0
P012,C004027,T055963,I00183,S00620,2,ct,35.0
P037,C004161,T034071,I00172,S00269,8,oz,19.0
P029,C005118,T09030,I00087,S00571,5,bottles,15.0
P032,C003982,T037308,I00242,S00670,6,pk,12.0
P002,C005908,T062890,I00203,S00720,5,ct,18.0
P012,C004867,T056615,I00049,S00694,7,cans,8.0
