payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price
P038,C007408,T085961,I00156,S00316,4,bags,17.0
P029,C006548,T014573,I00086,S00543,6,cans,18.0
P017,C006466,T066364,I00033,S0093,11,cans,16.0
P008,C004679,T01519,I00188,S00443,7,ct,14.0
P028,C002557,T049653,I00029,S00493,1,cans,11.5
P033,C007903,T010454,I00159,S00497,9,bags,17.0
P014,C001088,T050717,I00053,S00562,8,cans,$40.0
P027,C001890,T023157,I00148,S00384,11,ct,15.0
P026,C000570,T047923,I00078,S00385,8,bottles,17.0
P001,C007447,T019781,I00034,S00441,2,cans,16.0
P034,C005342,T06111,I00170,S00350,5,ct.,15.0
P035,C008451,T04720,I00007,S00214,11,cans,6.75
P023,C006194,T017750,I00213,S00320,3,ct,12.0
P032,C007820,T092080,I00050,S00156,1,cans,8.0
P031,C003259,T065267,I00255,S00215,6,pack,20.0
P035,C004403,T010048,I00011,S00327,10,cans,6.75
P032,C001300,T011274,I00054,S00601,7,cans,40.0
P035,C008506,T059067,I00065,S00463,2,bottles,20.0
P019,C004649,T099710,I00122,S00319,1,ct,15.0
P034,C007640,T02706,I00256,S00510,4,pack,20.0
P016,C000809,T03470,I00199,S00589,8,ct,15.0
P018,C000623,T052022,I00014,S00240,2,cans,6.75
P006,C005668,T050056,I00205,S00366,11,ct,16.0
P005,C001024,T018094,I00157,S00619,7,bags,17.0
P033,C002997,T036477,I00216,S00407,7,ct,$16.5
P019,C004338,T050229,I00071,S00421,6,bottles,17.5
P039,C002338,T080400,I00099,S00274,2,oz,6.0
P037,C000118,T038036,I00131,S00684,4,ct,14.0
P033,C006507,T010199,I00256,S0029,2,pack,20.0
P026,C001049,T015834,I00205,S00302,1,ct,16.0
P011,C005631,T02356,I00243,S00301,2,oz,16.0
P008,C005367,T052507,I00238,S00561,3,ct,12.0
P023,C000609,T041982,I00166,S0014,3,bags,17.0
P023,C006155,T02369,I00153,S00450,7,bags,15.0
P012,C003192,T064349,I00101,S00370,3,tubs,15.0
P002,C001144,T078366,I00117,S00313,9,ct,46.0
P010,C002608,T040652,I00216,S00275,6,ct,16.5
P009,C002853,T068524,I00062,S00643,1,cans,37.0
P025,C000170,T06207,I00013,S00311,4,cans,6.75
P011,C008136,T018189,I00239,S00356,3,pk,14.0
P003,C005148,T051748,I00107,S00408,6,oz,20.0
P036,C003739,T087846,I00209,S00191,2,ct,$13.0
P033,C008412,T025923,I00146,S00110,8,ct,21.0
P011,C000909,T010139,I00071,S0057,6,bottles,$17.5
P021,C000291,T046248,I00041,S00140,4,bottles,23.0
P002,C004685,T011467,I00007,S00390,8,cans,6.75
P032,C002725,T060451,I00021,S00674,1,cans,6.75
P030,C002988,T017446,I00131,S0075,10,ct,$14.0
P001,C000441,T020479,I00110,S00151,8,oz,22.5
P009,C008021,T029539,I00176,S00528,2,ct,19.0
P036,C004379,T09228,I00099,S00501,4,oz,6.0
P029,C006537,T049174,I00222,S00280,5,ct,12.0
P026,C001960,T022198,I00182,S00294,5,oz,15.0
P029,C004420,T099710,I00163,S0063,4,bags,15.0
P009,C001316,T055027,I00094,S00312,2,bottles,11.0
P035,C001645,T073539,I00024,S00721,11,cans,16.25
P032,C008972,T079800,I00141,S00261,2,ct,18.0
P017,C007681,T079637,I00121,S00568,8,ct,17.0
P007,C007613,T020183,I00263,S00559,10,Ct,14.0
P002,C008964,T098374,I00018,S00457,5,cans,6.75
P030,C006853,T07934,I00037,S00117,4,cans,16.0
P001,C004713,T044570,I00058,S00617,2,bottles,22.0
P021,C001864,T08719,I00125,S00519,9,ct,15.0
P024,C006877,T086685,I00168,S00611,3,ct,18.0
P018,C000525,T03697,I00257,S00226,9,ct,21.0
P006,C003472,T018581,I00184,S00341,8,ct,12.0
P020,C000799,T072736,I00261,S00146,11,ct,33.0
P017,C001759,T056935,I00235,S00289,1,ct,14.0
P014,C001870,T015871,I00181,S00336,4,ct,26.0
P021,C004293,T040017,I00032,S00609,6,cans,16.0
P017,C006782,T083899,I00131,S0085,7,ct,14.0
P027,C005412,T047977,I00108,S00702,6,oz,15.0
P019,C004078,T019349,I00046,S00300,7,cans,8.0
P001,C008779,T025406,I00090,S00698,9,bottles,9.0
P036,C003895,T01519,I00152,S0013,8,bags,15.0
P002,C001019,T043717,I00057,S00438,11,bottles,24.0
P027,C001731,T095746,I00011,S00539,6,cans,6.75
P039,C008217,T029078,I00101,S00664,8,tubs,15.0
P033,C003193,T090689,I00264,S00451,8,Ct,15.0
P025,C007078,T07625,I00233,S00707,7,ct,12.0
P026,C003145,T094947,I00034,S00126,4,cans,16.0
P009,C007774,T029442,I00223,S00390,6,ct,13.5
P032,C000614,T047782,I00085,S00441,3,bottles,18.0
P003,C003069,T045921,I00230,S00536,11,pk,15.0
P027,C001025,T07384,I00086,S00507,2,cans,18.0
P009,C000387,T050761,I00190,S00638,4,ct,16.0
P029,C006249,T010454,I00162,S00235,7,Bags,16.0
P023,C004462,T028477,I00117,S00210,3,ct,46.0
P022,C004567,T038041,I00094,S00482,3,bottles,11.0
P029,C000604,T074647,I00189,S00182,6,ct.,13.0
P013,C008766,T017727,I00211,S00355,9,ct.,$15.0
P022,C005069,T023721,I00064,S00282,6,cans,$40.0
P036,C007288,T086965,I00113,S0017,10,ct,42.0
P015,C005848,T097135,I00056,S00587,4,bottles,24.0
P021,C005844,T018094,I00062,S00432,3,cans,37.0
P003,C004436,T05727,I00171,S00306,4,ct,16.0
P006,C006478,T084545,I00108,S00482,2,oz,15.0
P023,C008924,T077341,I00251,S00574,10,oz,13.0
P007,C005548,T050717,I00114,S00105,5,ct,44.0
P020,C001397,T090689,I00008,S0073,6,cans,16.25
P024,C004081,T015136,I00132,S00614,1,ct,$14.0
P001,C004183,T086320,I00129,S00235,7,pk,18.0
P004,C005925,T078525,I00242,S00660,3,pk,$12.0
P034,C003560,T039075,I00024,S0095,6,cans,16.25
P034,C008767,T095815,I00229,S00537,11,ct,13.0
P028,C004278,T018968,I00138,S0014,11,ct,32.0
P017,C002410,T090614,I00094,S00385,2,bottles,11.0
P017,C006515,T043412,I00115,S00563,6,ct,53.0
P029,C007785,T04444,I00084,S00648,5,bottles,18.0
P015,C000521,T06471,I00171,S00548,1,ct,16.0
P033,C007546,T064117,I00210,S00166,2,ct,15.0
P016,C001144,T061501,I00079,S00391,10,bottles,17.0
P018,C004818,T017273,I00019,S00495,11,cans,6.75
P026,C003049,T089915,I00192,S00593,9,ct,24.0
P030,C003422,T011625,I00092,S00404,11,bottles,$10.0
P027,C005379,T021765,I00067,S00413,9,bottles,8.0
P016,C000399,T052929,I00081,S00380,3,bottles,29.0
P011,C001443,T07647,I00157,S00478,9,bags,17.0
P034,C008498,T098266,I00018,S00471,2,cans,6.75
P028,C005076,T051717,I00038,S00619,11,bottles,23.0
P029,C004907,T011540,I00178,S00410,5,ct,26.0
P037,C005560,T049742,I00022,S00379,9,cans,16.25
P035,C003252,T051455,I00046,S00326,7,cans,8.0
P016,C004314,T017273,I00020,S00595,11,cans,6.75
P010,C000257,T080776,I00245,S0038,1,rolls,26.0
P028,C000772,T077052,I00069,S00617,4,bottles,17.5
P011,C003551,T027739,I00121,S00118,3,ct,17.0
P033,C008639,T067618,I00108,S00493,7,oz,$15.0
P024,C005247,T057807,I00180,S00280,2,ct,19.0
P017,C009141,T03676,I00131,S00592,4,ct,14.0
P002,C002173,T033309,I00138,S00415,3,ct,32.0
P002,C007736,T017188,I00240,S0099,9,ct,14.0
P008,C001465,T060272,I00213,S00123,1,ct,12.0
P001,C008331,T064452,I00057,S00305,8,bottles,24.0
P018,C002822,T037613,I00205,S00300,6,ct,16.0
P038,C000526,T013732,I00078,S0049,10,bottles,17.0
P017,C001707,T051326,I00101,S0025,1,tubs,15.0
